
22/08/27 12:03:26 INFO client.RMProxy: Connecting to ResourceManager at emr-header-1.cluster-332954/192.168.0.158:8032
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-134.cluster-332954:33765, nodeAddress emr-worker-134.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-145.cluster-332954:38412, nodeAddress emr-worker-145.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-106.cluster-332954:37131, nodeAddress emr-worker-106.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-123.cluster-332954:45505, nodeAddress emr-worker-123.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-40.cluster-332954:34697, nodeAddress emr-worker-40.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-131.cluster-332954:34496, nodeAddress emr-worker-131.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-58.cluster-332954:35519, nodeAddress emr-worker-58.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-122.cluster-332954:34045, nodeAddress emr-worker-122.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-29.cluster-332954:38196, nodeAddress emr-worker-29.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-20.cluster-332954:38286, nodeAddress emr-worker-20.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-65.cluster-332954:35592, nodeAddress emr-worker-65.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-114.cluster-332954:42491, nodeAddress emr-worker-114.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-148.cluster-332954:39485, nodeAddress emr-worker-148.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-25.cluster-332954:42824, nodeAddress emr-worker-25.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-51.cluster-332954:35981, nodeAddress emr-worker-51.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-62.cluster-332954:44518, nodeAddress emr-worker-62.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-49.cluster-332954:33285, nodeAddress emr-worker-49.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-77.cluster-332954:46335, nodeAddress emr-worker-77.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-129.cluster-332954:38192, nodeAddress emr-worker-129.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-35.cluster-332954:33487, nodeAddress emr-worker-35.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-136.cluster-332954:41525, nodeAddress emr-worker-136.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-32.cluster-332954:39264, nodeAddress emr-worker-32.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-31.cluster-332954:37032, nodeAddress emr-worker-31.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-9.cluster-332954:40647, nodeAddress emr-worker-9.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-82.cluster-332954:43992, nodeAddress emr-worker-82.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-22.cluster-332954:37631, nodeAddress emr-worker-22.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-69.cluster-332954:33742, nodeAddress emr-worker-69.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-24.cluster-332954:40620, nodeAddress emr-worker-24.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
