
22/08/30 15:24:51 INFO client.RMProxy: Connecting to ResourceManager at emr-header-1.cluster-333708/192.168.0.11:8032
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-2.cluster-333708:35955, nodeAddress emr-worker-2.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-222.cluster-333708:45389, nodeAddress emr-worker-222.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-22.cluster-333708:35821, nodeAddress emr-worker-22.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-92.cluster-333708:44791, nodeAddress emr-worker-92.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-112.cluster-333708:38760, nodeAddress emr-worker-112.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-64.cluster-333708:41249, nodeAddress emr-worker-64.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-60.cluster-333708:44092, nodeAddress emr-worker-60.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-130.cluster-333708:43231, nodeAddress emr-worker-130.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-128.cluster-333708:41521, nodeAddress emr-worker-128.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-8.cluster-333708:44760, nodeAddress emr-worker-8.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-28.cluster-333708:38477, nodeAddress emr-worker-28.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-196.cluster-333708:38871, nodeAddress emr-worker-196.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-150.cluster-333708:34206, nodeAddress emr-worker-150.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-161.cluster-333708:42694, nodeAddress emr-worker-161.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-144.cluster-333708:36930, nodeAddress emr-worker-144.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-199.cluster-333708:36854, nodeAddress emr-worker-199.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-12.cluster-333708:37241, nodeAddress emr-worker-12.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-218.cluster-333708:33602, nodeAddress emr-worker-218.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-176.cluster-333708:42247, nodeAddress emr-worker-176.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-173.cluster-333708:44763, nodeAddress emr-worker-173.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-62.cluster-333708:45513, nodeAddress emr-worker-62.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-41.cluster-333708:38897, nodeAddress emr-worker-41.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-65.cluster-333708:43442, nodeAddress emr-worker-65.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-66.cluster-333708:44146, nodeAddress emr-worker-66.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-191.cluster-333708:32827, nodeAddress emr-worker-191.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-178.cluster-333708:41020, nodeAddress emr-worker-178.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-53.cluster-333708:44495, nodeAddress emr-worker-53.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-159.cluster-333708:33354, nodeAddress emr-worker-159.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/30 15:24:51 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-107.cluster-333708:43206, nodeAddress emr-worker-107.cluster-333708:8042, nodeRackName /default-rack, nodeNumContainers 0
