Time,emr-worker-100/used,emr-worker-101/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
13:45:00,2915536896.00 ,2971713536.00 ,2976940032.00 ,2696347648.00 ,2898096128.00 ,3037237248.00 ,2928414720.00 ,2953695232.00 ,2962825216.00 ,2906001408.00 ,2897248256.00 ,2932609024.00 ,2962362368.00 ,2949128192.00 ,2988089344.00 ,2894880768.00 ,3045818368.00 ,2957279232.00 ,2960969728.00 ,3265916928.00 ,2897608704.00 ,2919694336.00 ,2957844480.00 ,2919333888.00 ,2891894784.00 ,2923798528.00 ,2916954112.00 ,2880499712.00 ,2959749120.00 ,2916982784.00 ,3058798592.00 ,2921033728.00 ,2921050112.00 ,2970472448.00 ,2934501376.00 ,2896687104.00 ,2907402240.00 ,2907111424.00 ,2945683456.00 ,3042856960.00 ,2950533120.00 ,2919886848.00 ,2936569856.00 ,2939666432.00 ,2922893312.00 ,2933137408.00 ,2789244928.00 ,2980605952.00 ,2930700288.00 ,2911735808.00 ,2903646208.00 ,,149909688320.00 
13:45:15,2916737024.00 ,2974248960.00 ,2978045952.00 ,2695495680.00 ,2897555456.00 ,3039199232.00 ,2929913856.00 ,2952404992.00 ,2965377024.00 ,2908426240.00 ,2897076224.00 ,2931732480.00 ,2963890176.00 ,2949017600.00 ,2989879296.00 ,2894057472.00 ,3056799744.00 ,2958012416.00 ,2960441344.00 ,3267559424.00 ,2898423808.00 ,2923585536.00 ,2957611008.00 ,2920214528.00 ,2893660160.00 ,2921213952.00 ,2917216256.00 ,2881429504.00 ,2957307904.00 ,2926563328.00 ,3061514240.00 ,2919026688.00 ,2922942464.00 ,2975858688.00 ,2934222848.00 ,2897473536.00 ,2909212672.00 ,2908024832.00 ,2947731456.00 ,3047346176.00 ,2951307264.00 ,2919006208.00 ,2948399104.00 ,2938306560.00 ,2926313472.00 ,2932903936.00 ,2788245504.00 ,2987962368.00 ,2932092928.00 ,2910466048.00 ,2911252480.00 ,,149992706048.00 
13:45:30,2915209216.00 ,2969337856.00 ,2976837632.00 ,2696597504.00 ,2895921152.00 ,3032571904.00 ,2928439296.00 ,2948579328.00 ,2962812928.00 ,2904399872.00 ,2899476480.00 ,2926448640.00 ,2960908288.00 ,2950426624.00 ,2987425792.00 ,2893107200.00 ,3041259520.00 ,2955546624.00 ,2958557184.00 ,3266846720.00 ,2896347136.00 ,2924503040.00 ,2957283328.00 ,2918928384.00 ,2890256384.00 ,2924670976.00 ,2931359744.00 ,2881388544.00 ,2957975552.00 ,2920333312.00 ,3057983488.00 ,2938314752.00 ,2923278336.00 ,2971447296.00 ,2927800320.00 ,2895773696.00 ,2903670784.00 ,2904965120.00 ,2950811648.00 ,3044929536.00 ,2947571712.00 ,2917040128.00 ,2936848384.00 ,2934243328.00 ,2926006272.00 ,2933460992.00 ,2800508928.00 ,2979479552.00 ,2933256192.00 ,2927935488.00 ,2912612352.00 ,,149941694464.00 
13:45:45,2915872768.00 ,2969833472.00 ,2977009664.00 ,2696470528.00 ,2897264640.00 ,3038285824.00 ,2926792704.00 ,2950094848.00 ,2961985536.00 ,2907152384.00 ,2898706432.00 ,2943922176.00 ,2965172224.00 ,2950459392.00 ,2990931968.00 ,2895392768.00 ,3043037184.00 ,2955284480.00 ,2958696448.00 ,3266924544.00 ,2896965632.00 ,2934222848.00 ,2959843328.00 ,2920165376.00 ,2894241792.00 ,2927067136.00 ,2919825408.00 ,2878959616.00 ,2958905344.00 ,2919981056.00 ,3058798592.00 ,2918928384.00 ,2922086400.00 ,2973650944.00 ,2930868224.00 ,2896560128.00 ,2908991488.00 ,2906202112.00 ,2948341760.00 ,3045498880.00 ,2952613888.00 ,2919374848.00 ,2934325248.00 ,2948497408.00 ,2925146112.00 ,2932199424.00 ,2788024320.00 ,2980098048.00 ,2931363840.00 ,2911604736.00 ,2913140736.00 ,,149965783040.00 
13:46:00,2916450304.00 ,2970738688.00 ,2978983936.00 ,2696540160.00 ,2898489344.00 ,3038760960.00 ,2940280832.00 ,2951684096.00 ,2963456000.00 ,2910011392.00 ,2897223680.00 ,2935541760.00 ,2967457792.00 ,2950823936.00 ,2989993984.00 ,2898055168.00 ,3043188736.00 ,2970427392.00 ,2960379904.00 ,3268837376.00 ,2898870272.00 ,2921365504.00 ,2959978496.00 ,2922426368.00 ,2894622720.00 ,2924130304.00 ,2921959424.00 ,2881355776.00 ,2959777792.00 ,2919936000.00 ,3059716096.00 ,2920566784.00 ,2922287104.00 ,2974130176.00 ,2934108160.00 ,2897850368.00 ,2908409856.00 ,2908160000.00 ,2949005312.00 ,3046670336.00 ,2953355264.00 ,2919550976.00 ,2937262080.00 ,2942844928.00 ,2926620672.00 ,2934898688.00 ,2789642240.00 ,2980794368.00 ,2930335744.00 ,2915430400.00 ,2907971584.00 ,,150011359232.00 
13:46:15,2917306368.00 ,2970898432.00 ,2981789696.00 ,2698842112.00 ,2898653184.00 ,3038146560.00 ,2929491968.00 ,2953293824.00 ,2965086208.00 ,2909986816.00 ,2898907136.00 ,2934571008.00 ,2969686016.00 ,2950479872.00 ,2990198784.00 ,2896236544.00 ,3045060608.00 ,2956734464.00 ,2961006592.00 ,3266863104.00 ,2900197376.00 ,2924326912.00 ,2959134720.00 ,2935402496.00 ,2895175680.00 ,2925862912.00 ,2921381888.00 ,2881818624.00 ,2968276992.00 ,2922258432.00 ,3059531776.00 ,2918932480.00 ,2924314624.00 ,2976153600.00 ,2933477376.00 ,2908536832.00 ,2908807168.00 ,2910793728.00 ,2950348800.00 ,3049795584.00 ,2953859072.00 ,2921250816.00 ,2939559936.00 ,2940833792.00 ,2926366720.00 ,2933383168.00 ,2792009728.00 ,2981367808.00 ,2932809728.00 ,2916175872.00 ,2913959936.00 ,,150059343872.00 
13:46:30,2918072320.00 ,2970091520.00 ,2982182912.00 ,2693599232.00 ,2898186240.00 ,3037179904.00 ,2930147328.00 ,2964680704.00 ,2962403328.00 ,2906361856.00 ,2898407424.00 ,2934439936.00 ,2967470080.00 ,2949746688.00 ,2986991616.00 ,2895900672.00 ,3040841728.00 ,2956627968.00 ,2957185024.00 ,3266039808.00 ,2898714624.00 ,2927104000.00 ,2959261696.00 ,2922110976.00 ,2895441920.00 ,2926632960.00 ,2932412416.00 ,2878771200.00 ,2960003072.00 ,2923892736.00 ,3058454528.00 ,2936107008.00 ,2940547072.00 ,2970902528.00 ,2929885184.00 ,2895761408.00 ,2908401664.00 ,2925297664.00 ,2946469888.00 ,3049644032.00 ,2954502144.00 ,2919358464.00 ,2939305984.00 ,2938331136.00 ,2928787456.00 ,2935119872.00 ,2788212736.00 ,2982490112.00 ,2933166080.00 ,2916499456.00 ,2916491264.00 ,,150054637568.00 
13:46:45,2917634048.00 ,2972127232.00 ,2985402368.00 ,2698547200.00 ,2897408000.00 ,3038605312.00 ,2933075968.00 ,2953883648.00 ,2963603456.00 ,2908647424.00 ,2900013056.00 ,2934636544.00 ,2967404544.00 ,2950524928.00 ,2999943168.00 ,2897276928.00 ,3044270080.00 ,2957750272.00 ,2959155200.00 ,3270889472.00 ,2900213760.00 ,2926612480.00 ,2961432576.00 ,2921680896.00 ,2908745728.00 ,2926833664.00 ,2919854080.00 ,2880061440.00 ,2958221312.00 ,2922446848.00 ,3060756480.00 ,2925137920.00 ,2921836544.00 ,2975604736.00 ,2932404224.00 ,2897063936.00 ,2912862208.00 ,2910629888.00 ,2949963776.00 ,3048787968.00 ,2965569536.00 ,2938085376.00 ,2938327040.00 ,2941575168.00 ,2925506560.00 ,2933665792.00 ,2791383040.00 ,2980175872.00 ,2946678784.00 ,2914570240.00 ,2915160064.00 ,,150102646784.00 
13:47:00,2918928384.00 ,2973511680.00 ,2983706624.00 ,2700447744.00 ,2897567744.00 ,3039862784.00 ,2931253248.00 ,2954149888.00 ,2964725760.00 ,2910195712.00 ,2898870272.00 ,2935365632.00 ,2969554944.00 ,2953682944.00 ,2994204672.00 ,2897874944.00 ,3045875712.00 ,2957934592.00 ,2970771456.00 ,3269726208.00 ,2900795392.00 ,2923606016.00 ,2960752640.00 ,2923888640.00 ,2893869056.00 ,2924048384.00 ,2919669760.00 ,2880028672.00 ,2960809984.00 ,2918617088.00 ,3062329344.00 ,2924433408.00 ,2922319872.00 ,2975977472.00 ,2939461632.00 ,2898489344.00 ,2915983360.00 ,2908868608.00 ,2949611520.00 ,3048579072.00 ,2952830976.00 ,2925305856.00 ,2936999936.00 ,2943959040.00 ,2927214592.00 ,2933301248.00 ,2790797312.00 ,2982944768.00 ,2935369728.00 ,2913701888.00 ,2909736960.00 ,,150072512512.00 
13:47:15,2919419904.00 ,2975051776.00 ,2983657472.00 ,2700795904.00 ,2899570688.00 ,3040313344.00 ,2930905088.00 ,2954227712.00 ,2964545536.00 ,2914693120.00 ,2900004864.00 ,2937380864.00 ,2969313280.00 ,2953015296.00 ,2994888704.00 ,2906103808.00 ,3047014400.00 ,2957803520.00 ,2961108992.00 ,3270848512.00 ,2900594688.00 ,2924732416.00 ,2963501056.00 ,2921885696.00 ,2894532608.00 ,2927362048.00 ,2921381888.00 ,2883653632.00 ,2961412096.00 ,2922254336.00 ,3067383808.00 ,2931585024.00 ,2924941312.00 ,2975440896.00 ,2936184832.00 ,2900836352.00 ,2916118528.00 ,2912686080.00 ,2951376896.00 ,3047788544.00 ,2954964992.00 ,2924625920.00 ,2939834368.00 ,2946682880.00 ,2927538176.00 ,2934075392.00 ,2792914944.00 ,2982469632.00 ,2934849536.00 ,2916970496.00 ,2915098624.00 ,,150136340480.00 
