Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,,,,,
11:00:00,2773110784.00 ,2822868992.00 ,2951585792.00 ,2924707840.00 ,2943266816.00 ,2891489280.00 ,2902867968.00 ,2934292480.00 ,2907987968.00 ,2933792768.00 ,2948648960.00 ,2970120192.00 ,2918449152.00 ,2902843392.00 ,2908610560.00 ,3239686144.00 ,2920316928.00 ,2959421440.00 ,2965381120.00 ,2957242368.00 ,2902564864.00 ,2901647360.00 ,2774614016.00 ,2835779584.00 ,2850693120.00 ,2735689728.00 ,2855723008.00 ,2749255680.00 ,2760814592.00 ,3194544128.00 ,2738401280.00 ,2747392000.00 ,2780020736.00 ,2809839616.00 ,2762645504.00 ,2795323392.00 ,2781429760.00 ,2719358976.00 ,2776993792.00 ,2770755584.00 ,2990608384.00 ,2720612352.00 ,2772570112.00 ,2804068352.00 ,2747281408.00 ,2758307840.00 ,2773307392.00 ,2752004096.00 ,2817662976.00 ,2858385408.00 ,2799845376.00 ,2770702336.00 ,2773020672.00 ,2804064256.00 ,2778791936.00 ,2782367744.00 ,2667401216.00 ,2777272320.00 ,2744180736.00 ,2748915712.00 ,2729041920.00 ,,173290590208.00 ,,,,
11:00:15,2773114880.00 ,2812190720.00 ,2945785856.00 ,2924056576.00 ,2939924480.00 ,2894204928.00 ,2902794240.00 ,2934329344.00 ,2907447296.00 ,2934595584.00 ,2944667648.00 ,2969370624.00 ,2903019520.00 ,2901893120.00 ,2910744576.00 ,3237826560.00 ,2916007936.00 ,2957860864.00 ,2962759680.00 ,2958139392.00 ,2902147072.00 ,2901495808.00 ,2775400448.00 ,2837102592.00 ,2848661504.00 ,2737221632.00 ,2856329216.00 ,2749693952.00 ,2759946240.00 ,3192311808.00 ,2740547584.00 ,2748727296.00 ,2778603520.00 ,2811383808.00 ,2747985920.00 ,2796253184.00 ,2781253632.00 ,2718076928.00 ,2778193920.00 ,2775654400.00 ,2992627712.00 ,2722697216.00 ,2782228480.00 ,2800209920.00 ,2747301888.00 ,2743566336.00 ,2773639168.00 ,2747625472.00 ,2817241088.00 ,2851819520.00 ,2802073600.00 ,2770731008.00 ,2775334912.00 ,2807463936.00 ,2791432192.00 ,2792443904.00 ,2667933696.00 ,2778370048.00 ,2743644160.00 ,2748755968.00 ,2734198784.00 ,,173259063296.00 ,,,,
11:00:30,2771849216.00 ,2810990592.00 ,2949505024.00 ,2939879424.00 ,2942046208.00 ,2892845056.00 ,2911940608.00 ,2935857152.00 ,2911711232.00 ,2933522432.00 ,2947371008.00 ,2971516928.00 ,2904891392.00 ,2897543168.00 ,2907525120.00 ,3240665088.00 ,2919350272.00 ,2963185664.00 ,2966601728.00 ,2957660160.00 ,2903838720.00 ,2902962176.00 ,2775891968.00 ,2837356544.00 ,2849591296.00 ,2734755840.00 ,2853924864.00 ,2744184832.00 ,2757783552.00 ,3192348672.00 ,2745708544.00 ,2750009344.00 ,2778783744.00 ,2811289600.00 ,2749857792.00 ,2798231552.00 ,2781708288.00 ,2714329088.00 ,2778411008.00 ,2773532672.00 ,2991353856.00 ,2722455552.00 ,2772094976.00 ,2795180032.00 ,2743672832.00 ,2744672256.00 ,2773737472.00 ,2744594432.00 ,2818355200.00 ,2851409920.00 ,2810146816.00 ,2766569472.00 ,2773340160.00 ,2804772864.00 ,2781687808.00 ,2782146560.00 ,2663755776.00 ,2778365952.00 ,2741133312.00 ,2749636608.00 ,2733981696.00 ,,173254021120.00 ,,,,
11:00:45,2772135936.00 ,2811232256.00 ,2947792896.00 ,2927153152.00 ,2942500864.00 ,2903285760.00 ,2899865600.00 ,2932862976.00 ,2910097408.00 ,2933112832.00 ,2949029888.00 ,2970898432.00 ,2898034688.00 ,2895745024.00 ,2907025408.00 ,3243282432.00 ,2919620608.00 ,2960269312.00 ,2963464192.00 ,2954092544.00 ,2904342528.00 ,2900230144.00 ,2773864448.00 ,2835644416.00 ,2849861632.00 ,2736525312.00 ,2854060032.00 ,2746761216.00 ,2759737344.00 ,3195514880.00 ,2741284864.00 ,2747850752.00 ,2778324992.00 ,2810408960.00 ,2748264448.00 ,2799517696.00 ,2780360704.00 ,2718117888.00 ,2776698880.00 ,2774937600.00 ,2990977024.00 ,2723725312.00 ,2769973248.00 ,2801287168.00 ,2746712064.00 ,2745929728.00 ,2771427328.00 ,2749444096.00 ,2816811008.00 ,2850574336.00 ,2800816128.00 ,2770505728.00 ,2773487616.00 ,2806267904.00 ,2778640384.00 ,2780303360.00 ,2667474944.00 ,2777403392.00 ,2740936704.00 ,2747842560.00 ,2732998656.00 ,,173217349632.00 ,,,,
11:01:00,2775035904.00 ,2815688704.00 ,2949038080.00 ,2926510080.00 ,2945732608.00 ,2897031168.00 ,2899099648.00 ,2935717888.00 ,2913021952.00 ,2933899264.00 ,2948743168.00 ,2969800704.00 ,2901721088.00 ,2897018880.00 ,2908749824.00 ,3243282432.00 ,2919763968.00 ,2962132992.00 ,2963664896.00 ,2957185024.00 ,2902470656.00 ,2902827008.00 ,2775425024.00 ,2836545536.00 ,2852646912.00 ,2735640576.00 ,2861871104.00 ,2748506112.00 ,2761527296.00 ,3193634816.00 ,2741026816.00 ,2744922112.00 ,2777706496.00 ,2811547648.00 ,2748387328.00 ,2797400064.00 ,2782560256.00 ,2718826496.00 ,2777366528.00 ,2772320256.00 ,2991661056.00 ,2722156544.00 ,2770247680.00 ,2801987584.00 ,2745102336.00 ,2744528896.00 ,2779303936.00 ,2747449344.00 ,2816790528.00 ,2862170112.00 ,2798931968.00 ,2768982016.00 ,2773315584.00 ,2807439360.00 ,2781855744.00 ,2782294016.00 ,2666520576.00 ,2778771456.00 ,2738749440.00 ,2747609088.00 ,2733064192.00 ,,173264928768.00 ,,,,
11:01:15,3166068736.00 ,2808954880.00 ,2945335296.00 ,2925256704.00 ,2944655360.00 ,2915057664.00 ,2900934656.00 ,5103620096.00 ,2913271808.00 ,2933624832.00 ,2947735552.00 ,2973184000.00 ,3181584384.00 ,2895982592.00 ,2908569600.00 ,3237269504.00 ,2919936000.00 ,2956730368.00 ,2963582976.00 ,2956922880.00 ,2902130688.00 ,2906103808.00 ,2775642112.00 ,2847842304.00 ,2850361344.00 ,6460784640.00 ,2856300544.00 ,6948888576.00 ,5367377920.00 ,3195555840.00 ,2740727808.00 ,2748260352.00 ,2774077440.00 ,3168366592.00 ,2750611456.00 ,2798764032.00 ,3195924480.00 ,2717077504.00 ,2775969792.00 ,2775064576.00 ,2991640576.00 ,2722177024.00 ,3292631040.00 ,2810908672.00 ,6603669504.00 ,2745229312.00 ,6856060928.00 ,2747768832.00 ,2816475136.00 ,2852761600.00 ,6027390976.00 ,6814121984.00 ,2773712896.00 ,6505222144.00 ,2780774400.00 ,2785165312.00 ,2666930176.00 ,2775363584.00 ,7009267712.00 ,3169484800.00 ,5489356800.00 ,,214290223104.00 ,,,,
11:01:30,3516874752.00 ,2811047936.00 ,2951946240.00 ,2925117440.00 ,2944757760.00 ,2897006592.00 ,2901164032.00 ,8358711296.00 ,2915176448.00 ,2932826112.00 ,2949300224.00 ,2973753344.00 ,3179773952.00 ,2897661952.00 ,2908680192.00 ,3240226816.00 ,2920198144.00 ,2961043456.00 ,2965581824.00 ,2956337152.00 ,2902253568.00 ,2903912448.00 ,2777575424.00 ,2839867392.00 ,2853351424.00 ,6779392000.00 ,2851180544.00 ,8225652736.00 ,6862077952.00 ,3193933824.00 ,2737659904.00 ,2755465216.00 ,2775785472.00 ,3552325632.00 ,2749128704.00 ,2799603712.00 ,3568455680.00 ,2716299264.00 ,2776190976.00 ,2775044096.00 ,2993139712.00 ,2724405248.00 ,3573071872.00 ,2795548672.00 ,6914883584.00 ,2742833152.00 ,8194863104.00 ,2745155584.00 ,2816049152.00 ,2851708928.00 ,6827507712.00 ,8153006080.00 ,2773155840.00 ,6867632128.00 ,2781982720.00 ,2784100352.00 ,2669408256.00 ,2775736320.00 ,8282845184.00 ,3513978880.00 ,8047276032.00 ,,230330630144.00 ,,,,
11:01:45,3776892928.00 ,2812452864.00 ,2951233536.00 ,2926129152.00 ,2946506752.00 ,2909061120.00 ,2896924672.00 ,8785539072.00 ,2924285952.00 ,2933911552.00 ,2949148672.00 ,2975547392.00 ,3180617728.00 ,2899312640.00 ,2908286976.00 ,3239129088.00 ,2923569152.00 ,2962542592.00 ,2974842880.00 ,2954960896.00 ,2902482944.00 ,2901180416.00 ,2774917120.00 ,2838413312.00 ,2853539840.00 ,6835269632.00 ,2855116800.00 ,8550764544.00 ,6897786880.00 ,3191885824.00 ,2738745344.00 ,2748243968.00 ,2776801280.00 ,3814260736.00 ,2749411328.00 ,2800398336.00 ,3857862656.00 ,2732343296.00 ,2776858624.00 ,2782068736.00 ,2990731264.00 ,2729537536.00 ,3814756352.00 ,2799906816.00 ,6913654784.00 ,2744184832.00 ,8561860608.00 ,2746064896.00 ,2812751872.00 ,2851540992.00 ,6836678656.00 ,8585560064.00 ,2772348928.00 ,6932246528.00 ,2779725824.00 ,2782953472.00 ,2669756416.00 ,2774052864.00 ,8644161536.00 ,3775889408.00 ,8569180160.00 ,,234296791040.00 ,,,,
11:02:00,8145387520.00 ,2813296640.00 ,2950189056.00 ,2924765184.00 ,2945437696.00 ,2898280448.00 ,2899025920.00 ,9037242368.00 ,2915876864.00 ,2936606720.00 ,2951348224.00 ,2982277120.00 ,3182366720.00 ,2897838080.00 ,2908536832.00 ,3240398848.00 ,2921807872.00 ,2963181568.00 ,2966872064.00 ,2954502144.00 ,2903826432.00 ,2914516992.00 ,2774392832.00 ,2838769664.00 ,2851082240.00 ,8326144000.00 ,2854457344.00 ,8850489344.00 ,8373063680.00 ,3191758848.00 ,2738417664.00 ,2747736064.00 ,2776875008.00 ,8192323584.00 ,2748174336.00 ,2796658688.00 ,8197087232.00 ,2718736384.00 ,2775547904.00 ,2769453056.00 ,2991321088.00 ,2723123200.00 ,8420270080.00 ,2799595520.00 ,8445693952.00 ,2744496128.00 ,8874487808.00 ,2748014592.00 ,2816102400.00 ,2852102144.00 ,8415313920.00 ,8899993600.00 ,2773069824.00 ,8414838784.00 ,2780717056.00 ,2782756864.00 ,2670882816.00 ,2774704128.00 ,8920510464.00 ,8138584064.00 ,8734711808.00 ,,265496039424.00 ,,,,
11:02:15,9340063744.00 ,2811912192.00 ,2948194304.00 ,2926809088.00 ,2955403264.00 ,2904502272.00 ,2899365888.00 ,9805627392.00 ,2910814208.00 ,2934943744.00 ,2956931072.00 ,2971176960.00 ,3183386624.00 ,2898620416.00 ,2908975104.00 ,3239813120.00 ,2919739392.00 ,2960252928.00 ,2967695360.00 ,2956697600.00 ,2902786048.00 ,2906611712.00 ,2774654976.00 ,2841673728.00 ,2856280064.00 ,9550843904.00 ,2853081088.00 ,9644204032.00 ,9497612288.00 ,3193470976.00 ,2738319360.00 ,2747252736.00 ,2774171648.00 ,9180155904.00 ,2748010496.00 ,2797191168.00 ,9315692544.00 ,2718289920.00 ,2782785536.00 ,2770653184.00 ,2991632384.00 ,2723790848.00 ,9628364800.00 ,2799407104.00 ,9595146240.00 ,2744614912.00 ,9624367104.00 ,2746429440.00 ,2821914624.00 ,2849927168.00 ,9522413568.00 ,9857527808.00 ,2773016576.00 ,9646587904.00 ,2780237824.00 ,2783526912.00 ,2671517696.00 ,2779316224.00 ,9791475712.00 ,9294024704.00 ,9579307008.00 ,,281999212544.00 ,,,,
