Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
13:45:00,2758021120.00 ,2809192448.00 ,2938212352.00 ,2904473600.00 ,2896031744.00 ,2825646080.00 ,2867683328.00 ,2879205376.00 ,2892853248.00 ,2911838208.00 ,2925281280.00 ,2954104832.00 ,2878910464.00 ,2855952384.00 ,2882375680.00 ,3225878528.00 ,2869972992.00 ,2944020480.00 ,2947833856.00 ,2938929152.00 ,2885095424.00 ,2861244416.00 ,2777542656.00 ,2828935168.00 ,2847657984.00 ,2714963968.00 ,2853789696.00 ,2737397760.00 ,2743316480.00 ,3183374336.00 ,2725847040.00 ,2741313536.00 ,2763624448.00 ,2797727744.00 ,2754011136.00 ,2785280000.00 ,2770800640.00 ,2709504000.00 ,2788364288.00 ,2774446080.00 ,2989129728.00 ,2716323840.00 ,2750373888.00 ,2788425728.00 ,2728968192.00 ,2744430592.00 ,2755362816.00 ,2733780992.00 ,2802626560.00 ,2828517376.00 ,2790608896.00 ,2752319488.00 ,2785558528.00 ,2785607680.00 ,2766118912.00 ,2789302272.00 ,2672275456.00 ,2761584640.00 ,2725261312.00 ,2737655808.00 ,2715324416.00 ,,172270211072.00 
13:45:15,2760671232.00 ,2791206912.00 ,2926288896.00 ,2905677824.00 ,2890764288.00 ,2837241856.00 ,2859827200.00 ,2882191360.00 ,2888953856.00 ,2911145984.00 ,2921975808.00 ,2941173760.00 ,2878980096.00 ,2851840000.00 ,2879090688.00 ,3223490560.00 ,2869051392.00 ,2941992960.00 ,2942529536.00 ,2940100608.00 ,2881347584.00 ,2860023808.00 ,2782109696.00 ,2829660160.00 ,2844753920.00 ,2707578880.00 ,2846285824.00 ,2736959488.00 ,2736906240.00 ,3176669184.00 ,2717614080.00 ,2733445120.00 ,2750177280.00 ,2793459712.00 ,2746097664.00 ,2780786688.00 ,2768433152.00 ,2695327744.00 ,2780815360.00 ,2770489344.00 ,2978463744.00 ,2704916480.00 ,2742439936.00 ,2785538048.00 ,2719993856.00 ,2738651136.00 ,2743676928.00 ,2728955904.00 ,2790465536.00 ,2814627840.00 ,2784460800.00 ,2744287232.00 ,2784870400.00 ,2785386496.00 ,2760183808.00 ,2770464768.00 ,2665541632.00 ,2757103616.00 ,2721038336.00 ,2731061248.00 ,2710327296.00 ,,171945590784.00 
13:45:30,2750132224.00 ,2796773376.00 ,2929598464.00 ,2908323840.00 ,2891374592.00 ,2828972032.00 ,2860302336.00 ,2879021056.00 ,2903822336.00 ,2909294592.00 ,2926571520.00 ,2944618496.00 ,2878734336.00 ,2853437440.00 ,2878824448.00 ,3225530368.00 ,2867720192.00 ,2944282624.00 ,2944135168.00 ,2936262656.00 ,2883010560.00 ,2861309952.00 ,2767454208.00 ,2830032896.00 ,2837512192.00 ,2703216640.00 ,2837794816.00 ,2730008576.00 ,2734899200.00 ,3176783872.00 ,2713976832.00 ,2732695552.00 ,2747469824.00 ,2788585472.00 ,2743865344.00 ,2776723456.00 ,2765746176.00 ,2692280320.00 ,2775068672.00 ,2768605184.00 ,2974830592.00 ,2706407424.00 ,2741526528.00 ,2778996736.00 ,2735267840.00 ,2735300608.00 ,2745180160.00 ,2725515264.00 ,2789126144.00 ,2820722688.00 ,2785460224.00 ,2757517312.00 ,2777292800.00 ,2785513472.00 ,2759442432.00 ,2771206144.00 ,2661048320.00 ,2753843200.00 ,2722603008.00 ,2730434560.00 ,2708471808.00 ,,171890479104.00 
13:45:45,2749472768.00 ,2790252544.00 ,2928685056.00 ,2907967488.00 ,2889613312.00 ,2840137728.00 ,2857037824.00 ,2880839680.00 ,2892582912.00 ,2910588928.00 ,2927620096.00 ,2958008320.00 ,2876538880.00 ,2853986304.00 ,2880348160.00 ,3224948736.00 ,2875342848.00 ,2942644224.00 ,2944315392.00 ,2934919168.00 ,2880892928.00 ,2854531072.00 ,2765328384.00 ,2827624448.00 ,2839142400.00 ,2704404480.00 ,2838917120.00 ,2748485632.00 ,2743173120.00 ,3173179392.00 ,2714603520.00 ,2731798528.00 ,2747719680.00 ,2786353152.00 ,2741317632.00 ,2778226688.00 ,2764468224.00 ,2692071424.00 ,2773635072.00 ,2765656064.00 ,2973216768.00 ,2700967936.00 ,2739695616.00 ,2784321536.00 ,2723090432.00 ,2734538752.00 ,2743160832.00 ,2729816064.00 ,2788446208.00 ,2819784704.00 ,2780884992.00 ,2748506112.00 ,2777133056.00 ,2783780864.00 ,2758443008.00 ,2771267584.00 ,2665066496.00 ,2754863104.00 ,2719793152.00 ,2728759296.00 ,2708447232.00 ,,171871363072.00 
13:46:00,2750423040.00 ,2797805568.00 ,2927726592.00 ,2908049408.00 ,2890747904.00 ,2843406336.00 ,2857709568.00 ,2878869504.00 ,2896539648.00 ,2927005696.00 ,2925207552.00 ,2947801088.00 ,2875764736.00 ,2854404096.00 ,2881568768.00 ,3222740992.00 ,2867838976.00 ,2942644224.00 ,2941124608.00 ,2936176640.00 ,2881728512.00 ,2858872832.00 ,2765819904.00 ,2828288000.00 ,2837262336.00 ,2703335424.00 ,2836656128.00 ,2734546944.00 ,2746802176.00 ,3178041344.00 ,2715693056.00 ,2729664512.00 ,2750844928.00 ,2787663872.00 ,2740719616.00 ,2775453696.00 ,2765418496.00 ,2690568192.00 ,2773643264.00 ,2760052736.00 ,2974474240.00 ,2699845632.00 ,2740568064.00 ,2785112064.00 ,2723311616.00 ,2736402432.00 ,2746105856.00 ,2729107456.00 ,2788384768.00 ,2821832704.00 ,2784595968.00 ,2746695680.00 ,2777505792.00 ,2797166592.00 ,2756325376.00 ,2772619264.00 ,2661785600.00 ,2755321856.00 ,2717433856.00 ,2729431040.00 ,2705788928.00 ,,171884445696.00 
13:46:15,2750070784.00 ,2787356672.00 ,2927255552.00 ,2906054656.00 ,2903314432.00 ,2841460736.00 ,2866659328.00 ,2876628992.00 ,2894958592.00 ,2913263616.00 ,2923274240.00 ,2944425984.00 ,2877177856.00 ,2850177024.00 ,2883448832.00 ,3217879040.00 ,2863628288.00 ,2941591552.00 ,2941513728.00 ,2934738944.00 ,2880643072.00 ,2856992768.00 ,2765737984.00 ,2830450688.00 ,2838319104.00 ,2704523264.00 ,2836664320.00 ,2735738880.00 ,2742480896.00 ,3176009728.00 ,2715664384.00 ,2730610688.00 ,2749222912.00 ,2786062336.00 ,2740916224.00 ,2777436160.00 ,2773630976.00 ,2691571712.00 ,2774712320.00 ,2765287424.00 ,2973851648.00 ,2701037568.00 ,2752606208.00 ,2779267072.00 ,2723921920.00 ,2736996352.00 ,2746494976.00 ,2728361984.00 ,2798477312.00 ,2820435968.00 ,2784911360.00 ,2747158528.00 ,2776227840.00 ,2783936512.00 ,2757304320.00 ,2770309120.00 ,2659688448.00 ,2754011136.00 ,2716897280.00 ,2727239680.00 ,2707587072.00 ,,171864276992.00 
13:46:30,2749644800.00 ,2792255488.00 ,2925805568.00 ,2908483584.00 ,2890989568.00 ,2828070912.00 ,2865987584.00 ,2878537728.00 ,2896613376.00 ,2908684288.00 ,2923683840.00 ,2948059136.00 ,2877603840.00 ,2850889728.00 ,2882211840.00 ,3229265920.00 ,2868277248.00 ,2945003520.00 ,2940715008.00 ,2936057856.00 ,2880167936.00 ,2858881024.00 ,2761994240.00 ,2829746176.00 ,2837405696.00 ,2715176960.00 ,2834755584.00 ,2733080576.00 ,2740314112.00 ,3176603648.00 ,2725912576.00 ,2730053632.00 ,2760212480.00 ,2783776768.00 ,2742018048.00 ,2792189952.00 ,2765381632.00 ,2687713280.00 ,2784825344.00 ,2763554816.00 ,2977419264.00 ,2700603392.00 ,2740596736.00 ,2773168128.00 ,2721325056.00 ,2736132096.00 ,2744709120.00 ,2724757504.00 ,2797748224.00 ,2829918208.00 ,2784333824.00 ,2741956608.00 ,2775482368.00 ,2784120832.00 ,2756689920.00 ,2769203200.00 ,2660741120.00 ,2754990080.00 ,2718855168.00 ,2727428096.00 ,2708721664.00 ,,171879505920.00 
13:46:45,2748284928.00 ,2785816576.00 ,2927529984.00 ,2911137792.00 ,2890899456.00 ,2839097344.00 ,2862845952.00 ,2877300736.00 ,2897502208.00 ,2911109120.00 ,2924285952.00 ,2950266880.00 ,2881851392.00 ,2851737600.00 ,2899283968.00 ,3226079232.00 ,2868568064.00 ,2942152704.00 ,2942201856.00 ,2935595008.00 ,2888216576.00 ,2871836672.00 ,2762911744.00 ,2828406784.00 ,2837196800.00 ,2704318464.00 ,2837438464.00 ,2734972928.00 ,2744119296.00 ,3178422272.00 ,2715492352.00 ,2728972288.00 ,2750840832.00 ,2789740544.00 ,2739556352.00 ,2775744512.00 ,2762964992.00 ,2689519616.00 ,2771472384.00 ,2763857920.00 ,2981232640.00 ,2700095488.00 ,2741493760.00 ,2781032448.00 ,2721476608.00 ,2738315264.00 ,2743558144.00 ,2727546880.00 ,2797379584.00 ,2819690496.00 ,2781810688.00 ,2746519552.00 ,2776838144.00 ,2782924800.00 ,2763292672.00 ,2769342464.00 ,2660642816.00 ,2753912832.00 ,2718420992.00 ,2727710720.00 ,2706821120.00 ,,171889606656.00 
13:47:00,2748575744.00 ,2793152512.00 ,2927140864.00 ,2911563776.00 ,3238895616.00 ,2827788288.00 ,2867343360.00 ,3243962368.00 ,2898259968.00 ,3282759680.00 ,3253104640.00 ,2948169728.00 ,2877607936.00 ,3217960960.00 ,2883936256.00 ,3561709568.00 ,4051042304.00 ,3270914048.00 ,2941677568.00 ,2935160832.00 ,2878717952.00 ,3186188288.00 ,2762985472.00 ,3210043392.00 ,3215720448.00 ,3075026944.00 ,3210768384.00 ,2733416448.00 ,3114700800.00 ,3175669760.00 ,6608744448.00 ,2724728832.00 ,3124658176.00 ,3164917760.00 ,2738470912.00 ,3144007680.00 ,3141275648.00 ,3063181312.00 ,2772484096.00 ,3134226432.00 ,2978279424.00 ,3103080448.00 ,2748706816.00 ,2781126656.00 ,3095896064.00 ,2734288896.00 ,3119333376.00 ,3103404032.00 ,3186434048.00 ,3195252736.00 ,3155996672.00 ,3120472064.00 ,3148394496.00 ,3153960960.00 ,3131719680.00 ,2772168704.00 ,2664935424.00 ,5407956992.00 ,3096354816.00 ,3102461952.00 ,4093988864.00 ,,192754872320.00 
13:47:15,2748362752.00 ,2786111488.00 ,2923995136.00 ,2912768000.00 ,3282313216.00 ,2842791936.00 ,2867605504.00 ,3297787904.00 ,2892488704.00 ,3343720448.00 ,3327434752.00 ,2945540096.00 ,2878177280.00 ,3268448256.00 ,2888302592.00 ,3659841536.00 ,8072884224.00 ,3366981632.00 ,2939052032.00 ,2937536512.00 ,2881392640.00 ,3306807296.00 ,2764353536.00 ,3272065024.00 ,3273510912.00 ,3145351168.00 ,3253628928.00 ,2735259648.00 ,3177541632.00 ,3176951808.00 ,6753828864.00 ,2729431040.00 ,3196366848.00 ,3227324416.00 ,2742251520.00 ,3203158016.00 ,3187904512.00 ,3126702080.00 ,2775085056.00 ,3191492608.00 ,2982494208.00 ,3161473024.00 ,2745171968.00 ,2789437440.00 ,3155136512.00 ,2738372608.00 ,3178954752.00 ,3151470592.00 ,3221884928.00 ,3269935104.00 ,3221360640.00 ,3192795136.00 ,3213172736.00 ,3223666688.00 ,3210485760.00 ,2771234816.00 ,2667188224.00 ,6732324864.00 ,3165097984.00 ,3182297088.00 ,7924281344.00 ,,204200787968.00 
