Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
20:45:00,10133585920.00 ,2843000832.00 ,2672836608.00 ,2673250304.00 ,2733076480.00 ,2679963648.00 ,2713010176.00 ,2783944704.00 ,2706874368.00 ,2682830848.00 ,2696937472.00 ,2711212032.00 ,2596319232.00 ,2700779520.00 ,2658955264.00 ,2750959616.00 ,2695983104.00 ,2749706240.00 ,2651398144.00 ,2720448512.00 ,2727583744.00 ,2686435328.00 ,2693898240.00 ,2720694272.00 ,2762690560.00 ,2732285952.00 ,2713653248.00 ,2708246528.00 ,2707881984.00 ,2662240256.00 ,2674905088.00 ,2699644928.00 ,2729492480.00 ,2740183040.00 ,2703564800.00 ,2696257536.00 ,2640240640.00 ,2759700480.00 ,2651992064.00 ,2671284224.00 ,2702147584.00 ,2685562880.00 ,2701701120.00 ,2656980992.00 ,2682720256.00 ,2747748352.00 ,2712080384.00 ,2712813568.00 ,2716848128.00 ,2760798208.00 ,2745966592.00 ,,145463316480.00 ,,,,
20:45:15,9940676608.00 ,2853851136.00 ,2671964160.00 ,2675879936.00 ,2733195264.00 ,2678398976.00 ,2713124864.00 ,2785423360.00 ,2709815296.00 ,2684837888.00 ,2699616256.00 ,2711011328.00 ,2597883904.00 ,2702774272.00 ,2650406912.00 ,2751799296.00 ,2696437760.00 ,2753650688.00 ,2652938240.00 ,2722086912.00 ,2726768640.00 ,2687172608.00 ,2681815040.00 ,2720399360.00 ,2764869632.00 ,2733531136.00 ,2713030656.00 ,2718650368.00 ,2710790144.00 ,2659893248.00 ,2675146752.00 ,2702462976.00 ,2733629440.00 ,2739978240.00 ,2707976192.00 ,2689097728.00 ,2641391616.00 ,2767286272.00 ,2651979776.00 ,2668957696.00 ,2702262272.00 ,2682413056.00 ,2704445440.00 ,2656272384.00 ,2694422528.00 ,2735878144.00 ,2709536768.00 ,2711162880.00 ,2717655040.00 ,2760716288.00 ,2733973504.00 ,,145289338880.00 ,,,,
20:45:30,9926307840.00 ,2845519872.00 ,2668331008.00 ,2672635904.00 ,2730524672.00 ,2674065408.00 ,2712330240.00 ,2783010816.00 ,2711941120.00 ,2682916864.00 ,2694434816.00 ,2708369408.00 ,2596761600.00 ,2704691200.00 ,2657013760.00 ,2751098880.00 ,2693156864.00 ,2754555904.00 ,2647613440.00 ,2720808960.00 ,2723663872.00 ,2688126976.00 ,2680111104.00 ,2718834688.00 ,2762137600.00 ,2727051264.00 ,2709909504.00 ,2705989632.00 ,2711519232.00 ,2660864000.00 ,2671341568.00 ,2705416192.00 ,2730835968.00 ,2734481408.00 ,2708623360.00 ,2685100032.00 ,2636771328.00 ,2760941568.00 ,2649452544.00 ,2666532864.00 ,2701709312.00 ,2680025088.00 ,2699665408.00 ,2651615232.00 ,2682384384.00 ,2734952448.00 ,2710953984.00 ,2711314432.00 ,2711699456.00 ,2773016576.00 ,2730917888.00 ,,145162047488.00 ,,,,
20:45:45,9954623488.00 ,2855755776.00 ,2670268416.00 ,2673745920.00 ,2730946560.00 ,2678149120.00 ,2711068672.00 ,2783985664.00 ,2713530368.00 ,2685222912.00 ,2698436608.00 ,2708369408.00 ,2599161856.00 ,2705264640.00 ,2648363008.00 ,2752761856.00 ,2696916992.00 ,2756882432.00 ,2657681408.00 ,2722037760.00 ,2731651072.00 ,2687041536.00 ,2682990592.00 ,2724773888.00 ,2765418496.00 ,2734088192.00 ,2715521024.00 ,2704953344.00 ,2709786624.00 ,2662174720.00 ,2674315264.00 ,2703261696.00 ,2729607168.00 ,2738253824.00 ,2704457728.00 ,2687176704.00 ,2652135424.00 ,2764660736.00 ,2651594752.00 ,2670407680.00 ,2705580032.00 ,2684149760.00 ,2703314944.00 ,2654404608.00 ,2683256832.00 ,2736517120.00 ,2712588288.00 ,2714025984.00 ,2716721152.00 ,2761306112.00 ,2739388416.00 ,,145308696576.00 ,,,,
20:46:00,10448674816.00 ,3097477120.00 ,2676277248.00 ,2672902144.00 ,2731970560.00 ,2680217600.00 ,2725462016.00 ,2785099776.00 ,2711457792.00 ,2684547072.00 ,2698260480.00 ,2710589440.00 ,2596524032.00 ,2702315520.00 ,2783313920.00 ,2763264000.00 ,2696204288.00 ,2755534848.00 ,2655563776.00 ,2720210944.00 ,2728165376.00 ,2685448192.00 ,2680377344.00 ,2734268416.00 ,2877157376.00 ,2732707840.00 ,2717274112.00 ,2705711104.00 ,2861875200.00 ,2661494784.00 ,2674540544.00 ,2703777792.00 ,2731810816.00 ,2920218624.00 ,2704785408.00 ,2688237568.00 ,2639478784.00 ,2760007680.00 ,2653863936.00 ,2672218112.00 ,2706354176.00 ,2754301952.00 ,2702331904.00 ,2660360192.00 ,3005583360.00 ,2733154304.00 ,2815533056.00 ,2707787776.00 ,2717696000.00 ,2760065024.00 ,2738397184.00 ,,147130851328.00 ,,,,
20:46:15,10456563712.00 ,3127267328.00 ,3222085632.00 ,2674626560.00 ,2731835392.00 ,3195547648.00 ,2712723456.00 ,2788753408.00 ,2713341952.00 ,2696966144.00 ,2699509760.00 ,2707705856.00 ,2599694336.00 ,3248017408.00 ,3212087296.00 ,2750939136.00 ,2695671808.00 ,2755108864.00 ,2667159552.00 ,2721005568.00 ,7498084352.00 ,2686734336.00 ,3237224448.00 ,2723680256.00 ,3313180672.00 ,2733035520.00 ,6750437376.00 ,3207782400.00 ,3293188096.00 ,3227570176.00 ,2675462144.00 ,3257077760.00 ,3201187840.00 ,7938531328.00 ,2708205568.00 ,2688212992.00 ,2642444288.00 ,3310174208.00 ,2653593600.00 ,7852482560.00 ,2705752064.00 ,3216744448.00 ,2704084992.00 ,2655617024.00 ,3285893120.00 ,3275669504.00 ,3238989824.00 ,2710204416.00 ,2718150656.00 ,2760364032.00 ,2740363264.00 ,,173986734080.00 ,,,,
20:46:30,10457616384.00 ,3131092992.00 ,3642404864.00 ,2670624768.00 ,2730807296.00 ,3600531456.00 ,2710892544.00 ,2781712384.00 ,2713841664.00 ,2684473344.00 ,2696306688.00 ,2709012480.00 ,2598465536.00 ,3668033536.00 ,3594645504.00 ,2746884096.00 ,2692055040.00 ,2754506752.00 ,2650578944.00 ,2719752192.00 ,8119377920.00 ,2686398464.00 ,3647705088.00 ,2721198080.00 ,3724263424.00 ,2729103360.00 ,6749286400.00 ,3632005120.00 ,3671162880.00 ,3641872384.00 ,2669760512.00 ,3678703616.00 ,3611598848.00 ,8155234304.00 ,2703241216.00 ,2685104128.00 ,2636152832.00 ,3715366912.00 ,2647818240.00 ,8039456768.00 ,2703581184.00 ,3618979840.00 ,2702159872.00 ,2651545600.00 ,3659485184.00 ,3686834176.00 ,3653640192.00 ,2709716992.00 ,2714521600.00 ,2756898816.00 ,2737479680.00 ,,181413892096.00 ,,,,
20:46:45,10453762048.00 ,3127615488.00 ,3863019520.00 ,2671071232.00 ,2732019712.00 ,3813593088.00 ,2709671936.00 ,2784538624.00 ,2713812992.00 ,2683879424.00 ,2698268672.00 ,2709340160.00 ,2599546880.00 ,3892097024.00 ,3782807552.00 ,2751963136.00 ,2695548928.00 ,2755223552.00 ,2655895552.00 ,2731110400.00 ,8208445440.00 ,2686824448.00 ,3855384576.00 ,2723319808.00 ,3947839488.00 ,2730475520.00 ,6765604864.00 ,3864625152.00 ,3870564352.00 ,3853508608.00 ,2671345664.00 ,3884204032.00 ,3899244544.00 ,8667893760.00 ,2704924672.00 ,2690658304.00 ,2637926400.00 ,3932532736.00 ,2650562560.00 ,8038797312.00 ,2705137664.00 ,3823783936.00 ,2703183872.00 ,2653859840.00 ,3858378752.00 ,3860697088.00 ,3847610368.00 ,2709426176.00 ,2715004928.00 ,2759663616.00 ,2738442240.00 ,,185484656640.00 ,,,,
20:47:00,10450501632.00 ,3118915584.00 ,3961241600.00 ,2670809088.00 ,2740129792.00 ,4286717952.00 ,2712150016.00 ,2783375360.00 ,2713464832.00 ,2683883520.00 ,2703540224.00 ,2710093824.00 ,2597765120.00 ,4043931648.00 ,4648796160.00 ,2750885888.00 ,2695430144.00 ,2755223552.00 ,2654617600.00 ,2719973376.00 ,8200171520.00 ,2686468096.00 ,4338495488.00 ,2722906112.00 ,4752027648.00 ,2731323392.00 ,6781997056.00 ,3953491968.00 ,4806381568.00 ,3952881664.00 ,2673008640.00 ,4120383488.00 ,3993829376.00 ,8740298752.00 ,2705448960.00 ,2693603328.00 ,2640224256.00 ,4378218496.00 ,2651267072.00 ,8076689408.00 ,2717507584.00 ,4494884864.00 ,2702290944.00 ,2653507584.00 ,5264875520.00 ,3980718080.00 ,4671610880.00 ,2708377600.00 ,2717270016.00 ,2762489856.00 ,2739716096.00 ,,193413812224.00 ,,,,
20:47:15,10460512256.00 ,3127726080.00 ,9083281408.00 ,2671984640.00 ,2740162560.00 ,8995844096.00 ,2711642112.00 ,2785390592.00 ,2713284608.00 ,2684268544.00 ,2700316672.00 ,2718359552.00 ,2597806080.00 ,9067978752.00 ,9001111552.00 ,2750664704.00 ,2695127040.00 ,2756702208.00 ,2656190464.00 ,2720739328.00 ,9234530304.00 ,2686840832.00 ,9080033280.00 ,2721693696.00 ,9109348352.00 ,2731307008.00 ,9222078464.00 ,8959414272.00 ,9231761408.00 ,9003745280.00 ,2672472064.00 ,9032261632.00 ,8843481088.00 ,9273257984.00 ,2704453632.00 ,2692333568.00 ,2640486400.00 ,9090048000.00 ,2650558464.00 ,9551872000.00 ,2705657856.00 ,8993681408.00 ,2703024128.00 ,2658295808.00 ,9245704192.00 ,9080516608.00 ,9044815872.00 ,2710290432.00 ,2717560832.00 ,2764521472.00 ,2738786304.00 ,,274133925888.00 ,,,,
