Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
11:00:00,9690542080.00 ,2944598016.00 ,2766503936.00 ,2795827200.00 ,2739593216.00 ,2787721216.00 ,2801963008.00 ,2799640576.00 ,2785820672.00 ,2721792000.00 ,2719772672.00 ,2737020928.00 ,2659901440.00 ,2746630144.00 ,2752454656.00 ,2789072896.00 ,2832289792.00 ,2760122368.00 ,2693033984.00 ,2778140672.00 ,2769756160.00 ,2764468224.00 ,2810949632.00 ,2807005184.00 ,2777292800.00 ,2791444480.00 ,2834833408.00 ,2770321408.00 ,2681606144.00 ,2755239936.00 ,2763706368.00 ,2796756992.00 ,2752299008.00 ,2733092864.00 ,2591907840.00 ,2796519424.00 ,2790506496.00 ,2788601856.00 ,2825158656.00 ,2788114432.00 ,2823954432.00 ,2608787456.00 ,2780176384.00 ,2787528704.00 ,2608857088.00 ,2804809728.00 ,2598731776.00 ,2818097152.00 ,2555383808.00 ,2735820800.00 ,2894876672.00 ,2785857536.00 ,2796670976.00 ,2829197312.00 ,2751332352.00 ,2759548928.00 ,2774429696.00 ,2753208320.00 ,2776481792.00 ,2843078656.00 ,2688577536.00 ,,175467429888.00 
11:00:15,9888456704.00 ,2947383296.00 ,2767593472.00 ,2796859392.00 ,2734612480.00 ,2788216832.00 ,2806083584.00 ,2797428736.00 ,2775740416.00 ,2724634624.00 ,2721230848.00 ,2740092928.00 ,2657619968.00 ,2748887040.00 ,2754658304.00 ,2790531072.00 ,2832850944.00 ,2760884224.00 ,2693984256.00 ,2778914816.00 ,2771181568.00 ,2770419712.00 ,2810544128.00 ,2815950848.00 ,2791108608.00 ,2779422720.00 ,2833481728.00 ,2771714048.00 ,2682286080.00 ,2761875456.00 ,2760241152.00 ,2810523648.00 ,2752499712.00 ,2738540544.00 ,2593292288.00 ,2796875776.00 ,2791247872.00 ,2789863424.00 ,2824896512.00 ,2789568512.00 ,2824224768.00 ,2614067200.00 ,2779340800.00 ,2787274752.00 ,2612150272.00 ,2805460992.00 ,2599964672.00 ,2817617920.00 ,2544218112.00 ,2736685056.00 ,2893479936.00 ,2787397632.00 ,2797776896.00 ,2830802944.00 ,2753085440.00 ,2763411456.00 ,2775871488.00 ,2754588672.00 ,2780061696.00 ,2844950528.00 ,2680455168.00 ,,175725084672.00 
11:00:30,9813340160.00 ,2940911616.00 ,2777399296.00 ,2790858752.00 ,2731839488.00 ,2787135488.00 ,2802331648.00 ,2794983424.00 ,2776756224.00 ,2718576640.00 ,2721394688.00 ,2743545856.00 ,2652762112.00 ,2743934976.00 ,2756960256.00 ,2786492416.00 ,2831556608.00 ,2761920512.00 ,2692091904.00 ,2776432640.00 ,2767372288.00 ,2767183872.00 ,2810585088.00 ,2804723712.00 ,2775855104.00 ,2780102656.00 ,2832171008.00 ,2771214336.00 ,2683043840.00 ,2762248192.00 ,2757029888.00 ,2797686784.00 ,2753024000.00 ,2736586752.00 ,2602180608.00 ,2794176512.00 ,2790318080.00 ,2784018432.00 ,2822848512.00 ,2785910784.00 ,2824105984.00 ,2614706176.00 ,2774548480.00 ,2784788480.00 ,2612387840.00 ,2805428224.00 ,2595352576.00 ,2816524288.00 ,2543013888.00 ,2733789184.00 ,2891083776.00 ,2784722944.00 ,2798493696.00 ,2826317824.00 ,2749763584.00 ,2762801152.00 ,2775379968.00 ,2754383872.00 ,2777616384.00 ,2844172288.00 ,2682208256.00 ,,175531094016.00 
11:00:45,9683574784.00 ,2939895808.00 ,2767265792.00 ,2792570880.00 ,2734063616.00 ,2788020224.00 ,2802569216.00 ,2794659840.00 ,2777141248.00 ,2723737600.00 ,2722045952.00 ,2742566912.00 ,2653327360.00 ,2746949632.00 ,2754187264.00 ,2789568512.00 ,2833149952.00 ,2758742016.00 ,2692329472.00 ,2776666112.00 ,2770423808.00 ,2764054528.00 ,2809368576.00 ,2803642368.00 ,2777853952.00 ,2780938240.00 ,2832154624.00 ,2770964480.00 ,2683641856.00 ,2767966208.00 ,2759520256.00 ,2797699072.00 ,2753024000.00 ,2737119232.00 ,2589696000.00 ,2796662784.00 ,2791936000.00 ,2788794368.00 ,2825609216.00 ,2788474880.00 ,2824876032.00 ,2615984128.00 ,2784419840.00 ,2792394752.00 ,2608984064.00 ,2804412416.00 ,2598412288.00 ,2816970752.00 ,2541731840.00 ,2736140288.00 ,2892091392.00 ,2784501760.00 ,2794971136.00 ,2828640256.00 ,2748739584.00 ,2775265280.00 ,2775420928.00 ,2754822144.00 ,2791665664.00 ,2842136576.00 ,2682232832.00 ,,175457390592.00 
11:01:00,9903403008.00 ,2939297792.00 ,2767638528.00 ,2792644608.00 ,2735312896.00 ,2788261888.00 ,2801483776.00 ,2795954176.00 ,2775486464.00 ,2724003840.00 ,2727014400.00 ,2738790400.00 ,2653388800.00 ,2748321792.00 ,2765484032.00 ,2790973440.00 ,2832502784.00 ,2760175616.00 ,2705903616.00 ,2777595904.00 ,2777436160.00 ,2765553664.00 ,2808889344.00 ,2803802112.00 ,2777227264.00 ,2778275840.00 ,2834784256.00 ,2771492864.00 ,2687135744.00 ,2767237120.00 ,2760761344.00 ,2800574464.00 ,2756059136.00 ,2735996928.00 ,2593558528.00 ,2807148544.00 ,2792022016.00 ,2791538688.00 ,2824806400.00 ,2788388864.00 ,2823344128.00 ,2612674560.00 ,2778800128.00 ,2785841152.00 ,2609541120.00 ,2803785728.00 ,2597699584.00 ,2822926336.00 ,2540937216.00 ,2734993408.00 ,2891407360.00 ,2797973504.00 ,2808139776.00 ,2830008320.00 ,2752528384.00 ,2760359936.00 ,2776367104.00 ,2755358720.00 ,2776915968.00 ,2840907776.00 ,2677952512.00 ,,175724789760.00 
11:01:15,10250510336.00 ,2951077888.00 ,2766065664.00 ,2794561536.00 ,2732711936.00 ,2789470208.00 ,2805129216.00 ,2801373184.00 ,2776551424.00 ,2724016128.00 ,2720243712.00 ,4986281984.00 ,2654556160.00 ,2745065472.00 ,2753753088.00 ,2791895040.00 ,2831732736.00 ,3168059392.00 ,3208040448.00 ,2774458368.00 ,2771652608.00 ,2767761408.00 ,2810413056.00 ,2802057216.00 ,2777337856.00 ,5276049408.00 ,2833862656.00 ,2773331968.00 ,3209469952.00 ,2770239488.00 ,2759413760.00 ,2799226880.00 ,2756079616.00 ,2732662784.00 ,2596507648.00 ,2797826048.00 ,2790731776.00 ,5375754240.00 ,6620319744.00 ,2790350848.00 ,2825277440.00 ,3125981184.00 ,3183173632.00 ,2787569664.00 ,3018248192.00 ,6940590080.00 ,6338617344.00 ,2832482304.00 ,5710544896.00 ,2741358592.00 ,2892644352.00 ,2786004992.00 ,5140410368.00 ,2828173312.00 ,2751885312.00 ,2759737344.00 ,2773921792.00 ,3169415168.00 ,2778136576.00 ,2848919552.00 ,2682613760.00 ,,203752308736.00 
11:01:30,10257768448.00 ,2933641216.00 ,2766659584.00 ,2793398272.00 ,2731499520.00 ,2788499456.00 ,2802954240.00 ,2795118592.00 ,2776322048.00 ,2721443840.00 ,2719985664.00 ,8164331520.00 ,2653552640.00 ,2744328192.00 ,2753245184.00 ,2789416960.00 ,2831683584.00 ,3183972352.00 ,3512463360.00 ,2774990848.00 ,2769879040.00 ,2765426688.00 ,2823004160.00 ,2804506624.00 ,2776780800.00 ,6447857664.00 ,2835218432.00 ,2774437888.00 ,3482501120.00 ,2769346560.00 ,2758135808.00 ,2800730112.00 ,2753155072.00 ,2736504832.00 ,2591047680.00 ,2791714816.00 ,2787250176.00 ,8209948672.00 ,8300646400.00 ,2789330944.00 ,2823974912.00 ,3439951872.00 ,3549863936.00 ,2783956992.00 ,3372736512.00 ,8179990528.00 ,6713520128.00 ,2814566400.00 ,8003416064.00 ,2733256704.00 ,2897563648.00 ,2785685504.00 ,6819221504.00 ,2827849728.00 ,2752630784.00 ,2762567680.00 ,2773504000.00 ,3533393920.00 ,2776502272.00 ,2845081600.00 ,2682003456.00 ,,220133937152.00 
11:01:45,10365308928.00 ,2935156736.00 ,2767175680.00 ,2793832448.00 ,2733047808.00 ,2787434496.00 ,2817556480.00 ,2794774528.00 ,2776326144.00 ,2724364288.00 ,2719547392.00 ,8503296000.00 ,2652643328.00 ,2761478144.00 ,2755469312.00 ,2793275392.00 ,2832449536.00 ,3200028672.00 ,3750559744.00 ,2774769664.00 ,2772590592.00 ,2768048128.00 ,2810982400.00 ,2804903936.00 ,2775810048.00 ,6436806656.00 ,2832891904.00 ,2769747968.00 ,3731062784.00 ,2767749120.00 ,2759151616.00 ,2800328704.00 ,2752589824.00 ,2749157376.00 ,2597056512.00 ,2798321664.00 ,2792017920.00 ,8662061056.00 ,8620146688.00 ,2791145472.00 ,2823323648.00 ,3679219712.00 ,3816046592.00 ,2785140736.00 ,3634905088.00 ,8591962112.00 ,6735757312.00 ,2814984192.00 ,8340467712.00 ,2735202304.00 ,2893881344.00 ,2785017856.00 ,6901628928.00 ,2829365248.00 ,2754322432.00 ,2762854400.00 ,2775302144.00 ,3791527936.00 ,2776801280.00 ,2842460160.00 ,2680307712.00 ,,223781543936.00 
11:02:00,10242625536.00 ,2931560448.00 ,2758774784.00 ,2793766912.00 ,2733436928.00 ,2793345024.00 ,2803769344.00 ,2795991040.00 ,2771222528.00 ,2721693696.00 ,2720579584.00 ,8831234048.00 ,2652704768.00 ,2748973056.00 ,2754502656.00 ,2791866368.00 ,2831753216.00 ,3699752960.00 ,8342007808.00 ,2776104960.00 ,2770132992.00 ,2765295616.00 ,2810155008.00 ,2804760576.00 ,2775584768.00 ,8237322240.00 ,2831953920.00 ,2771570688.00 ,8293597184.00 ,2764271616.00 ,2759000064.00 ,2799529984.00 ,2755198976.00 ,2734604288.00 ,2596110336.00 ,2796494848.00 ,2790543360.00 ,8770076672.00 ,8941346816.00 ,2791620608.00 ,2827599872.00 ,8270688256.00 ,8195866624.00 ,2784317440.00 ,7976476672.00 ,8754089984.00 ,8213471232.00 ,2814308352.00 ,8554213376.00 ,2735198208.00 ,2909106176.00 ,2786103296.00 ,8395014144.00 ,2829508608.00 ,2755162112.00 ,2760642560.00 ,2778558464.00 ,8147910656.00 ,2775949312.00 ,2837860352.00 ,2677497856.00 ,,256834379776.00 
11:02:15,10244157440.00 ,2946592768.00 ,2756407296.00 ,2794037248.00 ,2733846528.00 ,2789302272.00 ,2803818496.00 ,2796658688.00 ,2773835776.00 ,2724388864.00 ,2721468416.00 ,9448714240.00 ,2653577216.00 ,2748882944.00 ,2755891200.00 ,2792783872.00 ,2832637952.00 ,3800911872.00 ,9518800896.00 ,2789318656.00 ,2771554304.00 ,2766868480.00 ,2811011072.00 ,2805673984.00 ,2776055808.00 ,9318973440.00 ,2846441472.00 ,2771087360.00 ,9469616128.00 ,2766233600.00 ,2759049216.00 ,2799722496.00 ,2754064384.00 ,2736242688.00 ,2595389440.00 ,2798723072.00 ,2791317504.00 ,9821130752.00 ,9835937792.00 ,2791305216.00 ,2827575296.00 ,9467289600.00 ,9279676416.00 ,2784727040.00 ,9134223360.00 ,9872818176.00 ,9442095104.00 ,2813726720.00 ,9639112704.00 ,2735382528.00 ,2899435520.00 ,2784731136.00 ,9525157888.00 ,2828632064.00 ,2754449408.00 ,2761158656.00 ,2783076352.00 ,9273561088.00 ,2776502272.00 ,2842865664.00 ,2680586240.00 ,,272119214080.00 
