Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
13:45:00,10245746688.00 ,2923728896.00 ,7933087744.00 ,2790154240.00 ,2733617152.00 ,2774872064.00 ,2797559808.00 ,2777980928.00 ,2774921216.00 ,2726735872.00 ,2723713024.00 ,2720468992.00 ,2639622144.00 ,2743046144.00 ,2750394368.00 ,2791858176.00 ,2826420224.00 ,2758008832.00 ,2670338048.00 ,2770829312.00 ,2771972096.00 ,2764292096.00 ,2793529344.00 ,2792951808.00 ,2772828160.00 ,2753142784.00 ,2812215296.00 ,2771890176.00 ,2686619648.00 ,2776133632.00 ,2754019328.00 ,2784636928.00 ,2729283584.00 ,2729721856.00 ,2594660352.00 ,2791014400.00 ,2796818432.00 ,2778447872.00 ,2810019840.00 ,2768285696.00 ,2817081344.00 ,2602323968.00 ,3046051840.00 ,2771701760.00 ,2616307712.00 ,2764632064.00 ,2586226688.00 ,2810728448.00 ,2524164096.00 ,2730770432.00 ,2886512640.00 ,2781933568.00 ,2792955904.00 ,2815877120.00 ,2738892800.00 ,2755743744.00 ,2769473536.00 ,2735480832.00 ,2781151232.00 ,2843131904.00 ,2680344576.00 ,,180957073408.00 ,,,,
13:45:15,9718931456.00 ,2923782144.00 ,2756325376.00 ,2777686016.00 ,2730590208.00 ,2767794176.00 ,2788245504.00 ,2766848000.00 ,2763755520.00 ,2722209792.00 ,2721697792.00 ,2709794816.00 ,2630385664.00 ,2737147904.00 ,2741776384.00 ,2786738176.00 ,2820583424.00 ,2740301824.00 ,2664226816.00 ,2773516288.00 ,2763440128.00 ,2762698752.00 ,2790371328.00 ,2783809536.00 ,2766729216.00 ,2739294208.00 ,2807459840.00 ,2762543104.00 ,2681815040.00 ,2765746176.00 ,2749988864.00 ,2779643904.00 ,2720927744.00 ,2724810752.00 ,2589171712.00 ,2793168896.00 ,2772779008.00 ,2774437888.00 ,2801065984.00 ,2760396800.00 ,2811461632.00 ,2596794368.00 ,2749841408.00 ,2765230080.00 ,2601320448.00 ,2748399616.00 ,2577113088.00 ,2803240960.00 ,2517315584.00 ,2726584320.00 ,2888740864.00 ,2775371776.00 ,2776023040.00 ,2812813312.00 ,2728865792.00 ,2753327104.00 ,2767503360.00 ,2721472512.00 ,2776567808.00 ,2831245312.00 ,2676224000.00 ,,174538092544.00 ,,,,
13:45:30,9713098752.00 ,2918887424.00 ,2752569344.00 ,2778406912.00 ,2728058880.00 ,2763427840.00 ,2784825344.00 ,2764042240.00 ,2770210816.00 ,2718998528.00 ,2719399936.00 ,2706825216.00 ,2630930432.00 ,2752172032.00 ,2745679872.00 ,2783059968.00 ,2818990080.00 ,2742587392.00 ,2661482496.00 ,2766802944.00 ,2758594560.00 ,2763612160.00 ,2784440320.00 ,2782998528.00 ,2767798272.00 ,2747101184.00 ,2819964928.00 ,2756124672.00 ,2682015744.00 ,2765324288.00 ,2743771136.00 ,2775040000.00 ,2735644672.00 ,2723516416.00 ,2583027712.00 ,2778058752.00 ,2771763200.00 ,2780073984.00 ,2801901568.00 ,2754785280.00 ,2817708032.00 ,2595553280.00 ,2745462784.00 ,2759409664.00 ,2602024960.00 ,2749792256.00 ,2575994880.00 ,2798637056.00 ,2516926464.00 ,2724175872.00 ,2880483328.00 ,2778210304.00 ,2776788992.00 ,2810691584.00 ,2733522944.00 ,2752348160.00 ,2765672448.00 ,2720677888.00 ,2770006016.00 ,2827751424.00 ,2673295360.00 ,,174471147520.00 ,,,,
13:45:45,9720119296.00 ,2947514368.00 ,2768490496.00 ,2781167616.00 ,2729029632.00 ,2765578240.00 ,2785959936.00 ,2765066240.00 ,2769899520.00 ,2717413376.00 ,2717794304.00 ,2715176960.00 ,2634858496.00 ,2735620096.00 ,2741334016.00 ,2786275328.00 ,2817421312.00 ,2739126272.00 ,2662486016.00 ,2767753216.00 ,2759565312.00 ,2771759104.00 ,2781552640.00 ,2779529216.00 ,2765156352.00 ,2740051968.00 ,2805698560.00 ,2753163264.00 ,2681634816.00 ,2761887744.00 ,2742804480.00 ,2784620544.00 ,2721468416.00 ,2721361920.00 ,2584203264.00 ,2781786112.00 ,2770804736.00 ,2771877888.00 ,2804604928.00 ,2760581120.00 ,2809774080.00 ,2594717696.00 ,2753536000.00 ,2765815808.00 ,2596147200.00 ,2761351168.00 ,2572083200.00 ,2800250880.00 ,2515693568.00 ,2722344960.00 ,2881417216.00 ,2778001408.00 ,2776719360.00 ,2813288448.00 ,2734465024.00 ,2752319488.00 ,2765606912.00 ,2718466048.00 ,2771103744.00 ,2828992512.00 ,2676428800.00 ,,174500720640.00 ,,,,
13:46:00,9723121664.00 ,2962935808.00 ,2755284992.00 ,2781429760.00 ,2727194624.00 ,2766786560.00 ,2786226176.00 ,2762371072.00 ,2765639680.00 ,2716786688.00 ,2719653888.00 ,2711699456.00 ,2633187328.00 ,2734403584.00 ,2737545216.00 ,2780057600.00 ,2818469888.00 ,2737774592.00 ,2665177088.00 ,2766835712.00 ,2761023488.00 ,2758180864.00 ,2781347840.00 ,2779004928.00 ,2766381056.00 ,2737332224.00 ,2802192384.00 ,2763100160.00 ,2678165504.00 ,2759004160.00 ,2743562240.00 ,2782142464.00 ,2721816576.00 ,2721423360.00 ,2587422720.00 ,2782285824.00 ,2771156992.00 ,2772549632.00 ,2803642368.00 ,2759688192.00 ,2806996992.00 ,2592473088.00 ,2754408448.00 ,2762973184.00 ,2596507648.00 ,2747965440.00 ,2574643200.00 ,2801152000.00 ,2519306240.00 ,2722648064.00 ,2882682880.00 ,2775875584.00 ,2775592960.00 ,2815229952.00 ,2739597312.00 ,2752155648.00 ,2760798208.00 ,2717966336.00 ,2767998976.00 ,2824761344.00 ,2671837184.00 ,,174447575040.00 ,,,,
13:46:15,9710411776.00 ,2941317120.00 ,2750124032.00 ,2780696576.00 ,2727829504.00 ,2767892480.00 ,2792886272.00 ,2766540800.00 ,2783342592.00 ,2717622272.00 ,2719064064.00 ,2713448448.00 ,2634436608.00 ,2735079424.00 ,2739630080.00 ,2781847552.00 ,2817986560.00 ,2739818496.00 ,2664198144.00 ,2767290368.00 ,2758397952.00 ,2759659520.00 ,2781294592.00 ,2779312128.00 ,2765312000.00 ,2736668672.00 ,2804273152.00 ,2764009472.00 ,2677915648.00 ,2761523200.00 ,2743758848.00 ,2781167616.00 ,2718375936.00 ,2719952896.00 ,2587484160.00 ,2784571392.00 ,2772254720.00 ,2772676608.00 ,2803572736.00 ,2760167424.00 ,2811187200.00 ,2593259520.00 ,2752192512.00 ,2760847360.00 ,2596327424.00 ,2749292544.00 ,2573586432.00 ,2799570944.00 ,2519306240.00 ,2720403456.00 ,2882297856.00 ,2775740416.00 ,2772951040.00 ,2811015168.00 ,2734714880.00 ,2751713280.00 ,2764668928.00 ,2719145984.00 ,2770497536.00 ,2828804096.00 ,2673336320.00 ,,174444670976.00 ,,,,
13:46:30,9846906880.00 ,2946289664.00 ,2748264448.00 ,2777362432.00 ,2726686720.00 ,2764247040.00 ,2781720576.00 ,2760003584.00 ,2770362368.00 ,2711805952.00 ,2717913088.00 ,2716008448.00 ,2633457664.00 ,2728583168.00 ,2739527680.00 ,2776793088.00 ,2814042112.00 ,2740690944.00 ,2659889152.00 ,2765950976.00 ,2757816320.00 ,2760302592.00 ,2779525120.00 ,2777268224.00 ,2764316672.00 ,2735804416.00 ,2803580928.00 ,2763751424.00 ,2681630720.00 ,2761158656.00 ,2739871744.00 ,2779709440.00 ,2724093952.00 ,2725224448.00 ,2598277120.00 ,2778882048.00 ,2775085056.00 ,2770329600.00 ,2798563328.00 ,2755784704.00 ,2811469824.00 ,2592161792.00 ,2751070208.00 ,2758279168.00 ,2595508224.00 ,2750189568.00 ,2571169792.00 ,2797899776.00 ,2517753856.00 ,2720329728.00 ,2878087168.00 ,2776285184.00 ,2773733376.00 ,2810810368.00 ,2731438080.00 ,2751778816.00 ,2762711040.00 ,2719088640.00 ,2770690048.00 ,2827997184.00 ,2675351552.00 ,,174501285888.00 ,,,,
13:46:45,9922060288.00 ,2935320576.00 ,2748538880.00 ,2778804224.00 ,2726432768.00 ,2765979648.00 ,2784223232.00 ,2765549568.00 ,2767495168.00 ,2719862784.00 ,2716987392.00 ,2715942912.00 ,2634436608.00 ,2733289472.00 ,2737094656.00 ,2781159424.00 ,2815963136.00 ,2741579776.00 ,2662420480.00 ,2767372288.00 ,2757816320.00 ,2759544832.00 ,2779623424.00 ,2778505216.00 ,2772226048.00 ,2737405952.00 ,2802753536.00 ,2763579392.00 ,2678616064.00 ,2759323648.00 ,2740969472.00 ,2793254912.00 ,2724323328.00 ,2720780288.00 ,2585444352.00 ,2783653888.00 ,2775928832.00 ,2769698816.00 ,2801459200.00 ,2759327744.00 ,2808430592.00 ,2591432704.00 ,2761736192.00 ,2765828096.00 ,2596319232.00 ,2748686336.00 ,2572083200.00 ,2798956544.00 ,2518249472.00 ,2720722944.00 ,2878332928.00 ,2786549760.00 ,2773086208.00 ,2812297216.00 ,2731925504.00 ,2752692224.00 ,2766405632.00 ,2719072256.00 ,2770968576.00 ,2826977280.00 ,2676174848.00 ,,174641676288.00 ,,,,
13:47:00,10270187520.00 ,2945261568.00 ,2747932672.00 ,3150807040.00 ,2726998016.00 ,2764328960.00 ,2786066432.00 ,3134509056.00 ,2765475840.00 ,3090853888.00 ,3113205760.00 ,3085398016.00 ,2629324800.00 ,3107643392.00 ,2736500736.00 ,3152748544.00 ,2819805184.00 ,3113877504.00 ,2942976000.00 ,6125518848.00 ,3131146240.00 ,3130667008.00 ,3152855040.00 ,3154849792.00 ,2762735616.00 ,3112042496.00 ,3153604608.00 ,2762575872.00 ,3075379200.00 ,3181727744.00 ,3123638272.00 ,3153907712.00 ,3089117184.00 ,2735923200.00 ,2915536896.00 ,2782937088.00 ,2774700032.00 ,2769051648.00 ,2800205824.00 ,2757857280.00 ,6929264640.00 ,2970497024.00 ,3127517184.00 ,3134271488.00 ,4530618368.00 ,2756358144.00 ,6527819776.00 ,3184668672.00 ,2518036480.00 ,6130823168.00 ,2879827968.00 ,2774007808.00 ,3151728640.00 ,2813362176.00 ,2745016320.00 ,3151187968.00 ,3138088960.00 ,3092107264.00 ,3138498560.00 ,3158065152.00 ,2678677504.00 ,,203260321792.00 ,,,,
13:47:15,10289422336.00 ,2942189568.00 ,2748178432.00 ,3198595072.00 ,2727370752.00 ,2766340096.00 ,2786791424.00 ,3235508224.00 ,2768834560.00 ,3173363712.00 ,3164479488.00 ,3152216064.00 ,2637955072.00 ,3166183424.00 ,2739183616.00 ,3214409728.00 ,2819063808.00 ,3170390016.00 ,2944540672.00 ,6796914688.00 ,3199741952.00 ,3206713344.00 ,3209539584.00 ,3226198016.00 ,2765148160.00 ,3191697408.00 ,3229798400.00 ,2768048128.00 ,3125428224.00 ,3241160704.00 ,3181883392.00 ,3213598720.00 ,3140620288.00 ,2722213888.00 ,6637490176.00 ,2783354880.00 ,2776608768.00 ,2771365888.00 ,2801045504.00 ,2761601024.00 ,8045764608.00 ,3036520448.00 ,3188068352.00 ,3190611968.00 ,7925108736.00 ,2757750784.00 ,7745417216.00 ,3221839872.00 ,2516869120.00 ,7927156736.00 ,2881859584.00 ,2775273472.00 ,3235041280.00 ,2809888768.00 ,2732457984.00 ,3203174400.00 ,3194621952.00 ,3168030720.00 ,3190374400.00 ,3256078336.00 ,2681417728.00 ,,217078513664.00 ,,,,
