Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
0:00:00,9368371200.00 ,3261317120.00 ,3329937408.00 ,3157245952.00 ,3181633536.00 ,3187593216.00 ,3206983680.00 ,3212525568.00 ,3305791488.00 ,3243704320.00 ,,38455103488.00 
0:00:15,9366257664.00 ,3260583936.00 ,3327426560.00 ,3158577152.00 ,3183685632.00 ,3188113408.00 ,3208691712.00 ,3213545472.00 ,3306029056.00 ,3246313472.00 ,,38459224064.00 
0:00:30,9370619904.00 ,3275272192.00 ,3336507392.00 ,3158044672.00 ,3182571520.00 ,3187478528.00 ,3203411968.00 ,3213619200.00 ,3319488512.00 ,3243663360.00 ,,38490677248.00 
0:00:45,9373548544.00 ,3260923904.00 ,3324264448.00 ,3158618112.00 ,3185037312.00 ,3181678592.00 ,3203555328.00 ,3205038080.00 ,3309772800.00 ,3240165376.00 ,,38442602496.00 
0:01:00,9370488832.00 ,3252924416.00 ,3325280256.00 ,3158749184.00 ,3183517696.00 ,3182342144.00 ,3201085440.00 ,3207180288.00 ,3308716032.00 ,3240161280.00 ,,38430445568.00 
0:01:15,9361207296.00 ,3253833728.00 ,3322294272.00 ,3163693056.00 ,3184713728.00 ,3180773376.00 ,3200684032.00 ,3208421376.00 ,3310940160.00 ,3240501248.00 ,,38427062272.00 
0:01:30,9364324352.00 ,3253186560.00 ,3322011648.00 ,3152166912.00 ,3185340416.00 ,3180761088.00 ,3200290816.00 ,3206782976.00 ,3323432960.00 ,3246239744.00 ,,38434537472.00 
0:01:45,9377165312.00 ,3253293056.00 ,3318284288.00 ,3152470016.00 ,3191500800.00 ,3178094592.00 ,3201998848.00 ,3205005312.00 ,3309617152.00 ,3240849408.00 ,,38428278784.00 
0:02:00,9362423808.00 ,3253710848.00 ,3320291328.00 ,3150757888.00 ,3183652864.00 ,3180871680.00 ,3196338176.00 ,3208151040.00 ,3307487232.00 ,3239587840.00 ,,38403272704.00 
0:02:15,9358086144.00 ,3252649984.00 ,3321921536.00 ,3152609280.00 ,3182477312.00 ,3181735936.00 ,3200655360.00 ,3209875456.00 ,3312078848.00 ,3239936000.00 ,,38412025856.00 
0:02:30,9362714624.00 ,3248308224.00 ,3319152640.00 ,3152429056.00 ,3190837248.00 ,3177922560.00 ,3201191936.00 ,3205013504.00 ,3317911552.00 ,3240624128.00 ,,38416105472.00 
0:02:45,9358307328.00 ,3253186560.00 ,3332345856.00 ,3151060992.00 ,3189583872.00 ,3178827776.00 ,3213869056.00 ,3204325376.00 ,3306012672.00 ,3239247872.00 ,,38426767360.00 
0:03:00,9361276928.00 ,3253280768.00 ,3320635392.00 ,3148759040.00 ,3187974144.00 ,3184373760.00 ,3199340544.00 ,3204763648.00 ,3312537600.00 ,3236843520.00 ,,38409785344.00 
0:03:15,9355378688.00 ,3252092928.00 ,3320901632.00 ,3152084992.00 ,3203125248.00 ,3184762880.00 ,3201531904.00 ,3209293824.00 ,3316445184.00 ,3238961152.00 ,,38434578432.00 
0:03:30,9381470208.00 ,3248480256.00 ,3320250368.00 ,3156086784.00 ,3193032704.00 ,3183882240.00 ,3201429504.00 ,3211538432.00 ,3325906944.00 ,3242426368.00 ,,38464503808.00 
0:03:45,9359208448.00 ,3271974912.00 ,3317784576.00 ,3154964480.00 ,3189755904.00 ,3190390784.00 ,3199840256.00 ,3208667136.00 ,3312930816.00 ,3244433408.00 ,,38449950720.00 
0:04:00,9362194432.00 ,3258544128.00 ,3321196544.00 ,3153367040.00 ,3190489088.00 ,3191566336.00 ,3201478656.00 ,3209523200.00 ,3313418240.00 ,3242504192.00 ,,38444281856.00 
0:04:15,9357074432.00 ,3259392000.00 ,3320172544.00 ,3155042304.00 ,3191054336.00 ,3192774656.00 ,3199561728.00 ,3210354688.00 ,3314020352.00 ,3244527616.00 ,,38443974656.00 
0:04:30,9354235904.00 ,3255435264.00 ,3319300096.00 ,3155267584.00 ,3197890560.00 ,3190628352.00 ,3200131072.00 ,3207520256.00 ,3325046784.00 ,3242668032.00 ,,38448123904.00 
0:04:45,9354555392.00 ,3258884096.00 ,3316822016.00 ,3155881984.00 ,3198484480.00 ,3192782848.00 ,3199930368.00 ,3206893568.00 ,3313999872.00 ,3243503616.00 ,,38441738240.00 
0:05:00,9378848768.00 ,3257405440.00 ,3320938496.00 ,3154259968.00 ,3200872448.00 ,3200679936.00 ,3198627840.00 ,3212525568.00 ,3320504320.00 ,3243569152.00 ,,38488231936.00 
0:05:15,9357512704.00 ,3259158528.00 ,3320332288.00 ,3159175168.00 ,3196657664.00 ,3197276160.00 ,3199668224.00 ,3210141696.00 ,3314958336.00 ,3242196992.00 ,,38457077760.00 
0:05:30,9370386432.00 ,3254247424.00 ,3322540032.00 ,3159105536.00 ,3197419520.00 ,3195408384.00 ,3198550016.00 ,3207163904.00 ,3324837888.00 ,3242897408.00 ,,38472556544.00 
0:05:45,9364541440.00 ,3257421824.00 ,3315240960.00 ,3159699456.00 ,3198717952.00 ,3197190144.00 ,3198984192.00 ,3206090752.00 ,3313451008.00 ,3241988096.00 ,,38453325824.00 
0:06:00,9368965120.00 ,3257786368.00 ,3318243328.00 ,3157983232.00 ,3199840256.00 ,3196297216.00 ,3198894080.00 ,3208765440.00 ,3312992256.00 ,3242102784.00 ,,38461870080.00 
0:06:15,9367171072.00 ,3259322368.00 ,3317633024.00 ,3159334912.00 ,3199303680.00 ,3196784640.00 ,3202580480.00 ,3209797632.00 ,3310501888.00 ,3244871680.00 ,,38467301376.00 
0:06:30,9356849152.00 ,3265597440.00 ,3324174336.00 ,3157307392.00 ,3198832640.00 ,3194179584.00 ,3200102400.00 ,3210268672.00 ,3321344000.00 ,3255484416.00 ,,38484140032.00 
0:06:45,9366589440.00 ,3260633088.00 ,3324092416.00 ,3158540288.00 ,3208790016.00 ,3195674624.00 ,3200663552.00 ,3209568256.00 ,3307917312.00 ,3241107456.00 ,,38473576448.00 
0:07:00,9364209664.00 ,3258540032.00 ,3326058496.00 ,3161657344.00 ,3203112960.00 ,3194494976.00 ,3200909312.00 ,3209154560.00 ,3309785088.00 ,3242737664.00 ,,38470660096.00 
0:07:15,9355083776.00 ,3262992384.00 ,3323944960.00 ,3158061056.00 ,3201966080.00 ,3212070912.00 ,3200782336.00 ,3216408576.00 ,3310477312.00 ,3245359104.00 ,,38487146496.00 
0:07:30,9355145216.00 ,3259637760.00 ,3324764160.00 ,3160498176.00 ,3198136320.00 ,3196801024.00 ,3202011136.00 ,3210956800.00 ,3322925056.00 ,3245584384.00 ,,38476460032.00 
0:07:45,9355399168.00 ,3260841984.00 ,3331084288.00 ,3162599424.00 ,3200233472.00 ,3203874816.00 ,3201839104.00 ,3209400320.00 ,3317596160.00 ,3248062464.00 ,,38490931200.00 
0:08:00,9362001920.00 ,3261435904.00 ,3328856064.00 ,3162316800.00 ,3201449984.00 ,3196866560.00 ,3198918656.00 ,3211317248.00 ,3310854144.00 ,3247083520.00 ,,38481100800.00 
0:08:15,9379840000.00 ,3262722048.00 ,3343450112.00 ,3162849280.00 ,3197214720.00 ,3196268544.00 ,3199197184.00 ,3211161600.00 ,3311681536.00 ,3248353280.00 ,,38512738304.00 
0:08:30,9368776704.00 ,3259658240.00 ,3327922176.00 ,3162763264.00 ,3193466880.00 ,3196628992.00 ,3201871872.00 ,3213127680.00 ,3323416576.00 ,3246915584.00 ,,38494547968.00 
0:08:45,9363881984.00 ,3262377984.00 ,3326451712.00 ,3163856896.00 ,3194830848.00 ,3197054976.00 ,3201536000.00 ,3210682368.00 ,3311357952.00 ,3247919104.00 ,,38479949824.00 
0:09:00,9363955712.00 ,3263696896.00 ,3326468096.00 ,3164475392.00 ,3194265600.00 ,3199434752.00 ,3196067840.00 ,3212222464.00 ,3322355712.00 ,3255181312.00 ,,38498123776.00 
0:09:15,9359118336.00 ,3265888256.00 ,3328270336.00 ,3169349632.00 ,3194073088.00 ,3196669952.00 ,3199356928.00 ,3206287360.00 ,3310055424.00 ,3260850176.00 ,,38489919488.00 
0:09:30,9357398016.00 ,3261534208.00 ,3334041600.00 ,3170484224.00 ,3208634368.00 ,3195748352.00 ,3197566976.00 ,3205251072.00 ,3326500864.00 ,3248857088.00 ,,38506016768.00 
0:09:45,9356242944.00 ,3267473408.00 ,3326423040.00 ,3165741056.00 ,3196973056.00 ,3195236352.00 ,3204861952.00 ,3206885376.00 ,3313319936.00 ,3246948352.00 ,,38480105472.00 
0:10:00,9370681344.00 ,3266068480.00 ,3328438272.00 ,3165294592.00 ,3197767680.00 ,3192786944.00 ,3194515456.00 ,3219496960.00 ,3311308800.00 ,3248144384.00 ,,38494502912.00 
0:10:15,9353277440.00 ,3266912256.00 ,3331489792.00 ,3163779072.00 ,3198267392.00 ,3194576896.00 ,3203645440.00 ,3211079680.00 ,3311456256.00 ,3248558080.00 ,,38483042304.00 
0:10:30,9358979072.00 ,3262550016.00 ,3340931072.00 ,3164766208.00 ,3199201280.00 ,3206459392.00 ,3200065536.00 ,3210694656.00 ,3334041600.00 ,3252994048.00 ,,38530682880.00 
0:10:45,9358798848.00 ,3264606208.00 ,3327590400.00 ,3165569024.00 ,3200016384.00 ,3200737280.00 ,3201183744.00 ,3207557120.00 ,3309215744.00 ,3250974720.00 ,,38486249472.00 
0:11:00,9362022400.00 ,3265830912.00 ,3329138688.00 ,3165523968.00 ,3198291968.00 ,3198750720.00 ,3202887680.00 ,3209854976.00 ,3312418816.00 ,3249618944.00 ,,38494339072.00 
0:11:15,9365323776.00 ,3265703936.00 ,3332341760.00 ,3165638656.00 ,3199434752.00 ,3200806912.00 ,3206692864.00 ,3211948032.00 ,3311312896.00 ,3251400704.00 ,,38510604288.00 
0:11:30,9456201728.00 ,3262906368.00 ,3331043328.00 ,3166502912.00 ,3200344064.00 ,3199713280.00 ,3206144000.00 ,3213250560.00 ,3322523648.00 ,3247230976.00 ,,38605860864.00 
0:11:45,9363009536.00 ,3262795776.00 ,3328118784.00 ,3166216192.00 ,3200102400.00 ,3199254528.00 ,3207917568.00 ,3214364672.00 ,3310596096.00 ,3249790976.00 ,,38502166528.00 
0:12:00,9363259392.00 ,3266269184.00 ,3330097152.00 ,3164737536.00 ,3198681088.00 ,3199750144.00 ,3202334720.00 ,3214479360.00 ,3311030272.00 ,3259899904.00 ,,38510538752.00 
