Time,emr-worker-100/used,emr-worker-101/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
15:30:00,2702508032.00 ,2707173376.00 ,2711982080.00 ,2795347968.00 ,2731319296.00 ,2778365952.00 ,2712719360.00 ,2740273152.00 ,2740686848.00 ,2807406592.00 ,2780917760.00 ,2788655104.00 ,2773114880.00 ,2799071232.00 ,2769956864.00 ,2742059008.00 ,2710183936.00 ,2759380992.00 ,2698653696.00 ,2706071552.00 ,2726264832.00 ,2722824192.00 ,2716995584.00 ,2691620864.00 ,2785824768.00 ,2706542592.00 ,2745823232.00 ,2770640896.00 ,2813079552.00 ,2819702784.00 ,2717626368.00 ,2718011392.00 ,2747785216.00 ,2769932288.00 ,2769981440.00 ,2754859008.00 ,2721255424.00 ,2757365760.00 ,2709442560.00 ,2779840512.00 ,2732908544.00 ,2705653760.00 ,2683027456.00 ,2728833024.00 ,2720935936.00 ,2717573120.00 ,2721333248.00 ,2723418112.00 ,2771972096.00 ,2694569984.00 ,2721824768.00 ,,139823316992.00 
15:30:15,2703745024.00 ,2708418560.00 ,2711601152.00 ,2802372608.00 ,2719965184.00 ,2775326720.00 ,2728427520.00 ,2738229248.00 ,2725826560.00 ,2804293632.00 ,2778480640.00 ,2785062912.00 ,2775945216.00 ,2794168320.00 ,2772676608.00 ,2743611392.00 ,2711109632.00 ,2762862592.00 ,2693005312.00 ,2703581184.00 ,2732032000.00 ,2720530432.00 ,2715410432.00 ,2694819840.00 ,2786439168.00 ,2708422656.00 ,2742673408.00 ,2772090880.00 ,2814394368.00 ,2819813376.00 ,2713751552.00 ,2716495872.00 ,2749657088.00 ,2769661952.00 ,2775166976.00 ,2759004160.00 ,2723491840.00 ,2759319552.00 ,2714636288.00 ,2775068672.00 ,2736742400.00 ,2709311488.00 ,2682802176.00 ,2736046080.00 ,2719588352.00 ,2719858688.00 ,2723823616.00 ,2724323328.00 ,2772168704.00 ,2697232384.00 ,2713911296.00 ,,139837399040.00 
15:30:30,2703933440.00 ,2708324352.00 ,2712420352.00 ,2794221568.00 ,2720747520.00 ,2777579520.00 ,2714570752.00 ,2741690368.00 ,2726514688.00 ,2804228096.00 ,2778988544.00 ,2785329152.00 ,2777690112.00 ,2798223360.00 ,2773106688.00 ,2744627200.00 ,2712027136.00 ,2764124160.00 ,2692493312.00 ,2705842176.00 ,2726424576.00 ,2719948800.00 ,2717650944.00 ,2694619136.00 ,2784956416.00 ,2710298624.00 ,2743136256.00 ,2770251776.00 ,2814046208.00 ,2819891200.00 ,2711576576.00 ,2718826496.00 ,2749808640.00 ,2772828160.00 ,2773155840.00 ,2758639616.00 ,2723233792.00 ,2771484672.00 ,2724761600.00 ,2775773184.00 ,2737135616.00 ,2709405696.00 ,2684137472.00 ,2735185920.00 ,2720325632.00 ,2717593600.00 ,2722086912.00 ,2724057088.00 ,2768396288.00 ,2698321920.00 ,2717503488.00 ,,139852144640.00 
15:30:45,2716127232.00 ,2724515840.00 ,2709020672.00 ,2791579648.00 ,2720243712.00 ,2778423296.00 ,2712133632.00 ,2740604928.00 ,2738262016.00 ,2806493184.00 ,2779521024.00 ,2785624064.00 ,2775597056.00 ,2798030848.00 ,2767495168.00 ,2741178368.00 ,2709741568.00 ,2762715136.00 ,2691780608.00 ,2703290368.00 ,2724405248.00 ,2718990336.00 ,2718052352.00 ,2695692288.00 ,2785255424.00 ,2703642624.00 ,2744725504.00 ,2770509824.00 ,2815516672.00 ,2816196608.00 ,2711433216.00 ,2735521792.00 ,2757263360.00 ,2770321408.00 ,2772271104.00 ,2768572416.00 ,2719682560.00 ,2761314304.00 ,2709987328.00 ,2777792512.00 ,2735529984.00 ,2709340160.00 ,2682667008.00 ,2736152576.00 ,2730356736.00 ,2719072256.00 ,2736455680.00 ,2733629440.00 ,2770829312.00 ,2693902336.00 ,2719137792.00 ,,139896598528.00 
15:31:00,2704060416.00 ,2708992000.00 ,2710323200.00 ,2795859968.00 ,2722660352.00 ,2778177536.00 ,2714234880.00 ,2741248000.00 ,2728181760.00 ,2804494336.00 ,2781528064.00 ,2800410624.00 ,2775838720.00 ,2798780416.00 ,2768375808.00 ,2743906304.00 ,2709766144.00 ,2764247040.00 ,2692804608.00 ,2702704640.00 ,2726109184.00 ,2717327360.00 ,2718105600.00 ,2694213632.00 ,2798997504.00 ,2706669568.00 ,2744414208.00 ,2772025344.00 ,2814324736.00 ,2817282048.00 ,2713296896.00 ,2718826496.00 ,2748579840.00 ,2770034688.00 ,2772160512.00 ,2757976064.00 ,2726789120.00 ,2765455360.00 ,2711449600.00 ,2776854528.00 ,2732847104.00 ,2710044672.00 ,2684764160.00 ,2735300608.00 ,2718724096.00 ,2718154752.00 ,2721415168.00 ,2724528128.00 ,2770014208.00 ,2695692288.00 ,2719412224.00 ,,139848384512.00 
15:31:15,2704584704.00 ,2712170496.00 ,2710372352.00 ,2795839488.00 ,2725617664.00 ,2772803584.00 ,2714910720.00 ,2738024448.00 ,2725654528.00 ,2802937856.00 ,2779181056.00 ,2786426880.00 ,2775810048.00 ,2793046016.00 ,2767433728.00 ,2752413696.00 ,2713985024.00 ,2758746112.00 ,2702995456.00 ,2704715776.00 ,2725797888.00 ,2718449664.00 ,2726146048.00 ,2697093120.00 ,2786074624.00 ,2708283392.00 ,2742566912.00 ,2772799488.00 ,2814816256.00 ,2820079616.00 ,2713735168.00 ,2719768576.00 ,2750013440.00 ,2769010688.00 ,2772586496.00 ,2758246400.00 ,2729373696.00 ,2766139392.00 ,2713444352.00 ,2776985600.00 ,2737999872.00 ,2708475904.00 ,2685816832.00 ,2738925568.00 ,2723086336.00 ,2719084544.00 ,2720206848.00 ,2722340864.00 ,2767093760.00 ,2695311360.00 ,2719240192.00 ,,139856662528.00 
15:31:30,2704916480.00 ,2710155264.00 ,2712043520.00 ,2796228608.00 ,2723487744.00 ,2776383488.00 ,2714034176.00 ,2739314688.00 ,2727182336.00 ,2805731328.00 ,2780999680.00 ,2785542144.00 ,2777489408.00 ,2800517120.00 ,2767228928.00 ,2751799296.00 ,2715181056.00 ,2777935872.00 ,2702557184.00 ,2708836352.00 ,2724474880.00 ,2718117888.00 ,2716667904.00 ,2693386240.00 ,2785935360.00 ,2707312640.00 ,2742661120.00 ,2769850368.00 ,2815586304.00 ,2820648960.00 ,2713907200.00 ,2717421568.00 ,2749734912.00 ,2770300928.00 ,2772422656.00 ,2757492736.00 ,2728546304.00 ,2767708160.00 ,2713014272.00 ,2777481216.00 ,2740260864.00 ,2718691328.00 ,2684395520.00 ,2737610752.00 ,2723786752.00 ,2718285824.00 ,2721386496.00 ,2724548608.00 ,2767761408.00 ,2696073216.00 ,2719870976.00 ,,139892908032.00 
15:31:45,3471937536.00 ,3094958080.00 ,3464851456.00 ,3554226176.00 ,3107069952.00 ,3157630976.00 ,3100651520.00 ,3130912768.00 ,3497062400.00 ,3182927872.00 ,3200028672.00 ,3556413440.00 ,3164073984.00 ,3174506496.00 ,3154026496.00 ,3516166144.00 ,3107385344.00 ,3145703424.00 ,3094024192.00 ,3444228096.00 ,3106590720.00 ,3101712384.00 ,3104043008.00 ,3078819840.00 ,3164553216.00 ,3460214784.00 ,3501408256.00 ,3519672320.00 ,3568488448.00 ,3569856512.00 ,3446009856.00 ,3509809152.00 ,3135225856.00 ,3536388096.00 ,3205251072.00 ,3518291968.00 ,3125747712.00 ,3155120128.00 ,3471507456.00 ,3521396736.00 ,3122061312.00 ,7262220288.00 ,3439394816.00 ,3495469056.00 ,3513540608.00 ,3474542592.00 ,3479052288.00 ,3108470784.00 ,3153874944.00 ,3080503296.00 ,3475329024.00 ,,172723351552.00 
15:32:00,9703272448.00 ,5798830080.00 ,8936861696.00 ,8860368896.00 ,5150801920.00 ,5529653248.00 ,5732081664.00 ,5875970048.00 ,8966352896.00 ,5505433600.00 ,5037146112.00 ,7463317504.00 ,5009973248.00 ,4973109248.00 ,6053556224.00 ,8252657664.00 ,5442236416.00 ,5551357952.00 ,5421170688.00 ,8473731072.00 ,5769060352.00 ,5621366784.00 ,6351986688.00 ,6409650176.00 ,5940695040.00 ,8920772608.00 ,8546586624.00 ,8532852736.00 ,8202326016.00 ,8643387392.00 ,9244962816.00 ,8941109248.00 ,5443121152.00 ,9055621120.00 ,5633499136.00 ,8120963072.00 ,5831655424.00 ,6228467712.00 ,9087197184.00 ,9407016960.00 ,5944893440.00 ,11054018560.00 ,8930418688.00 ,8988008448.00 ,9598537728.00 ,8954839040.00 ,8821075968.00 ,5868584960.00 ,5624803328.00 ,6194679808.00 ,8846942208.00 ,,370496983040.00 
15:32:15,11836346368.00 ,7239176192.00 ,11793072128.00 ,11879555072.00 ,7146758144.00 ,7339413504.00 ,7347343360.00 ,7286235136.00 ,11865194496.00 ,7337517056.00 ,7181090816.00 ,11619553280.00 ,7163133952.00 ,7214661632.00 ,7280041984.00 ,11721105408.00 ,7305936896.00 ,7323496448.00 ,7271493632.00 ,11784409088.00 ,7275970560.00 ,7262093312.00 ,7214129152.00 ,7419162624.00 ,7357018112.00 ,11752960000.00 ,11858989056.00 ,11895255040.00 ,11940847616.00 ,11976368128.00 ,11817431040.00 ,11833634816.00 ,7298621440.00 ,11893657600.00 ,7290486784.00 ,11900932096.00 ,7283638272.00 ,7289151488.00 ,11820892160.00 ,11884019712.00 ,7283924992.00 ,12696698880.00 ,11817836544.00 ,11899514880.00 ,11911450624.00 ,11845447680.00 ,11839639552.00 ,7305043968.00 ,7355645952.00 ,7253172224.00 ,11810066432.00 ,,486219235328.00 
