Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,,,,,
11:00:00,46806061056.00 ,46704050176.00 ,46388043776.00 ,46689230848.00 ,46684442624.00 ,46421663744.00 ,35688648704.00 ,34793631744.00 ,34208493568.00 ,35896967168.00 ,34556157952.00 ,34705850368.00 ,46879498240.00 ,34255831040.00 ,45373415424.00 ,34501586944.00 ,34869403648.00 ,35135856640.00 ,34588758016.00 ,35402039296.00 ,46324994048.00 ,46891368448.00 ,45966262272.00 ,45970665472.00 ,46078369792.00 ,36276346880.00 ,34287677440.00 ,34529218560.00 ,34260934656.00 ,35288690688.00 ,35161673728.00 ,34833907712.00 ,34003570688.00 ,34862600192.00 ,34974072832.00 ,34620669952.00 ,46428450816.00 ,34745868288.00 ,34852765696.00 ,34690469888.00 ,45691035648.00 ,35089776640.00 ,34627641344.00 ,45074907136.00 ,34246696960.00 ,35367641088.00 ,46596661248.00 ,35283968000.00 ,34173116416.00 ,34447527936.00 ,45512572928.00 ,34300248064.00 ,47487262720.00 ,34112331776.00 ,35278041088.00 ,36376928256.00 ,47383953408.00 ,46172422144.00 ,34166218752.00 ,35037679616.00 ,34632179712.00 ,34229387264.00 ,45138956288.00 ,35637391360.00 ,45363474432.00 ,34703532032.00 ,33714798592.00 ,34295726080.00 ,35471687680.00 ,47653511168.00 ,46568906752.00 ,35085115392.00 ,33971544064.00 ,47874953216.00 ,46382264320.00 ,,2922748268544.00 ,,,,
11:00:15,46799122432.00 ,46865944576.00 ,46388043776.00 ,46744498176.00 ,46701993984.00 ,46419730432.00 ,35698499584.00 ,34816651264.00 ,34213945344.00 ,36040126464.00 ,34643746816.00 ,34699276288.00 ,46884323328.00 ,34254290944.00 ,45501833216.00 ,34508840960.00 ,34871386112.00 ,35138641920.00 ,34603511808.00 ,35391307776.00 ,46319575040.00 ,46889529344.00 ,45970931712.00 ,45949272064.00 ,46086967296.00 ,36408758272.00 ,34288463872.00 ,34523881472.00 ,34249760768.00 ,35294117888.00 ,35202412544.00 ,34844573696.00 ,34003132416.00 ,34860986368.00 ,34977087488.00 ,34624905216.00 ,46415196160.00 ,34724802560.00 ,34858655744.00 ,34703998976.00 ,46068797440.00 ,35080081408.00 ,34616700928.00 ,45060182016.00 ,34264707072.00 ,35385524224.00 ,46594232320.00 ,35287904256.00 ,34179309568.00 ,34471309312.00 ,45500932096.00 ,34286456832.00 ,47740657664.00 ,34100076544.00 ,35268804608.00 ,36375560192.00 ,47520133120.00 ,46164176896.00 ,34172313600.00 ,35062411264.00 ,34607550464.00 ,34224656384.00 ,45133373440.00 ,35637829632.00 ,45371674624.00 ,34775891968.00 ,33708531712.00 ,34608705536.00 ,35477823488.00 ,47656509440.00 ,46574768128.00 ,35090264064.00 ,33982328832.00 ,48003309568.00 ,46442541056.00 ,,2924878753792.00 ,,,,
11:00:30,46814363648.00 ,46864076800.00 ,46421487616.00 ,46787530752.00 ,46699855872.00 ,46413578240.00 ,35706982400.00 ,34822594560.00 ,34226700288.00 ,36072898560.00 ,34681880576.00 ,34723938304.00 ,46907252736.00 ,34267283456.00 ,45524140032.00 ,34522787840.00 ,34891939840.00 ,35133505536.00 ,34651774976.00 ,35413622784.00 ,46308651008.00 ,46916313088.00 ,45995986944.00 ,45953978368.00 ,46101536768.00 ,36419440640.00 ,34294910976.00 ,34510340096.00 ,34263478272.00 ,35281903616.00 ,35191091200.00 ,34845122560.00 ,34039508992.00 ,34878963712.00 ,34985771008.00 ,34631360512.00 ,46452436992.00 ,34775818240.00 ,34868285440.00 ,34730610688.00 ,46176600064.00 ,35101757440.00 ,34658066432.00 ,45076393984.00 ,34259210240.00 ,35381112832.00 ,46608855040.00 ,35295297536.00 ,34178338816.00 ,34477400064.00 ,45510025216.00 ,34310340608.00 ,47833534464.00 ,34107461632.00 ,35329626112.00 ,36404805632.00 ,47520636928.00 ,46209724416.00 ,34200616960.00 ,35082760192.00 ,34652508160.00 ,34241019904.00 ,45154590720.00 ,35643453440.00 ,45378453504.00 ,34777493504.00 ,33743654912.00 ,34713083904.00 ,35481116672.00 ,47654006784.00 ,46578098176.00 ,35092369408.00 ,33977556992.00 ,48150777856.00 ,46456676352.00 ,,2926411128832.00 ,,,,
11:00:45,46829387776.00 ,46865895424.00 ,46452658176.00 ,46788636672.00 ,46708424704.00 ,46413578240.00 ,35713617920.00 ,34842357760.00 ,34223915008.00 ,36066189312.00 ,34669649920.00 ,34721996800.00 ,46875316224.00 ,34272124928.00 ,45538091008.00 ,34519527424.00 ,34872741888.00 ,35135401984.00 ,34638675968.00 ,35409670144.00 ,46317166592.00 ,46905516032.00 ,45987237888.00 ,45953142784.00 ,46108008448.00 ,36418912256.00 ,34302054400.00 ,34529120256.00 ,34263470080.00 ,35289255936.00 ,35213463552.00 ,34832949248.00 ,34035572736.00 ,34859511808.00 ,34967891968.00 ,34622201856.00 ,46470578176.00 ,34779029504.00 ,34871218176.00 ,34735120384.00 ,46195212288.00 ,35105427456.00 ,34651725824.00 ,45078097920.00 ,34292613120.00 ,35388760064.00 ,46612312064.00 ,35301244928.00 ,34184110080.00 ,34457329664.00 ,45520678912.00 ,34302611456.00 ,47905083392.00 ,34115305472.00 ,35329269760.00 ,36406599680.00 ,47525543936.00 ,46229250048.00 ,34194526208.00 ,35081961472.00 ,34646249472.00 ,34237722624.00 ,45145432064.00 ,35641241600.00 ,45380599808.00 ,34782900224.00 ,33751568384.00 ,34698035200.00 ,35504177152.00 ,47662682112.00 ,46583500800.00 ,35092566016.00 ,33977012224.00 ,48144457728.00 ,46454644736.00 ,,2926599733248.00 ,,,,
11:01:00,46818955264.00 ,46869602304.00 ,46480961536.00 ,46792716288.00 ,46719496192.00 ,46420934656.00 ,35706134528.00 ,34830041088.00 ,34230943744.00 ,36061478912.00 ,34669772800.00 ,34720452608.00 ,46886371328.00 ,34287702016.00 ,45523574784.00 ,34536910848.00 ,34885607424.00 ,35138236416.00 ,34666328064.00 ,35416080384.00 ,46308876288.00 ,46909739008.00 ,45984047104.00 ,45963849728.00 ,46096326656.00 ,36420829184.00 ,34309758976.00 ,34525548544.00 ,34264072192.00 ,35296841728.00 ,35215380480.00 ,34856439808.00 ,34047438848.00 ,34866020352.00 ,34974433280.00 ,34628833280.00 ,46444392448.00 ,34774933504.00 ,34870960128.00 ,34733256704.00 ,46202388480.00 ,35097378816.00 ,34657058816.00 ,45084438528.00 ,34283929600.00 ,35371192320.00 ,46617276416.00 ,35303153664.00 ,34221334528.00 ,34480525312.00 ,45509840896.00 ,34308657152.00 ,47905628160.00 ,34114592768.00 ,35328380928.00 ,36420390912.00 ,47532552192.00 ,46241103872.00 ,34186674176.00 ,35082641408.00 ,34650923008.00 ,34241556480.00 ,45154902016.00 ,35639582720.00 ,45382615040.00 ,34786160640.00 ,33772044288.00 ,34704564224.00 ,35483832320.00 ,47652020224.00 ,46578438144.00 ,35091636224.00 ,33983152128.00 ,48147279872.00 ,46457626624.00 ,,2926829752320.00 ,,,,
11:01:15,46817566720.00 ,46867259392.00 ,46487580672.00 ,46798163968.00 ,46716354560.00 ,46421831680.00 ,35718914048.00 ,34815307776.00 ,34250907648.00 ,36073537536.00 ,34696986624.00 ,34717159424.00 ,46885150720.00 ,34308083712.00 ,45539725312.00 ,34535931904.00 ,34896539648.00 ,35132907520.00 ,34674937856.00 ,35411443712.00 ,46311821312.00 ,46916677632.00 ,45976580096.00 ,45953232896.00 ,46108401664.00 ,36407607296.00 ,34319937536.00 ,34521878528.00 ,34262872064.00 ,35303272448.00 ,35216171008.00 ,34847371264.00 ,34041872384.00 ,34856390656.00 ,34992283648.00 ,34635231232.00 ,46448537600.00 ,34780758016.00 ,34870800384.00 ,34730749952.00 ,46209609728.00 ,35109097472.00 ,34661445632.00 ,45088026624.00 ,34291511296.00 ,35376291840.00 ,46611722240.00 ,35299479552.00 ,34239479808.00 ,34477744128.00 ,45509177344.00 ,34316853248.00 ,47903649792.00 ,34131398656.00 ,35332890624.00 ,36401004544.00 ,47531274240.00 ,46238601216.00 ,34185162752.00 ,35083878400.00 ,34673676288.00 ,34244239360.00 ,45135507456.00 ,35645157376.00 ,45380661248.00 ,34790690816.00 ,33777541120.00 ,34704322560.00 ,35480850432.00 ,47657443328.00 ,46584246272.00 ,35091124224.00 ,33979195392.00 ,48160894976.00 ,46457110528.00 ,,2927029698560.00 ,,,,
11:01:30,46815707136.00 ,46867542016.00 ,46487580672.00 ,46802743296.00 ,46715990016.00 ,46411526144.00 ,35721416704.00 ,34828914688.00 ,34256994304.00 ,36063211520.00 ,34683535360.00 ,34715439104.00 ,46884835328.00 ,34330759168.00 ,45554147328.00 ,34552139776.00 ,34906046464.00 ,35142889472.00 ,34686631936.00 ,35414192128.00 ,46311096320.00 ,46911639552.00 ,45983854592.00 ,45946392576.00 ,46095106048.00 ,36427923456.00 ,34324901888.00 ,34536476672.00 ,34257207296.00 ,35301937152.00 ,35216171008.00 ,34862231552.00 ,34060771328.00 ,34879782912.00 ,34983985152.00 ,34635231232.00 ,46450868224.00 ,34780209152.00 ,34878816256.00 ,34731765760.00 ,46231339008.00 ,35104460800.00 ,34652106752.00 ,45107355648.00 ,34305957888.00 ,35376820224.00 ,46602092544.00 ,35306508288.00 ,34242412544.00 ,34491187200.00 ,45516201984.00 ,34318888960.00 ,47899344896.00 ,34127380480.00 ,35331579904.00 ,36415295488.00 ,47533985792.00 ,46239748096.00 ,34190766080.00 ,35102224384.00 ,34698862592.00 ,34237472768.00 ,45157625856.00 ,35651313664.00 ,45382291456.00 ,34785673216.00 ,33794318336.00 ,34709741568.00 ,35494354944.00 ,47647105024.00 ,46576701440.00 ,35095044096.00 ,33991995392.00 ,48154173440.00 ,46453071872.00 ,,2927344013312.00 ,,,,
11:01:45,46820761600.00 ,46880124928.00 ,46481518592.00 ,46793363456.00 ,46719463424.00 ,46419525632.00 ,35713396736.00 ,34830102528.00 ,34286149632.00 ,36075159552.00 ,34676121600.00 ,34720616448.00 ,46881869824.00 ,34326736896.00 ,45573476352.00 ,34550493184.00 ,34900963328.00 ,35147161600.00 ,34698391552.00 ,35409170432.00 ,46328475648.00 ,46927118336.00 ,45992595456.00 ,45958561792.00 ,46114992128.00 ,36421730304.00 ,34343833600.00 ,34549805056.00 ,34269184000.00 ,35309592576.00 ,35214196736.00 ,34866102272.00 ,34049556480.00 ,34867875840.00 ,34983792640.00 ,34628476928.00 ,46452867072.00 ,34789294080.00 ,34882826240.00 ,34745110528.00 ,46232969216.00 ,35114332160.00 ,34657832960.00 ,45092442112.00 ,34332454912.00 ,35398561792.00 ,46609952768.00 ,35311452160.00 ,34281598976.00 ,34485350400.00 ,45519765504.00 ,34319384576.00 ,47908491264.00 ,34147274752.00 ,35337408512.00 ,36413267968.00 ,47532830720.00 ,46245605376.00 ,34192015360.00 ,35120365568.00 ,34701848576.00 ,34246725632.00 ,45146923008.00 ,35653816320.00 ,45393612800.00 ,34790445056.00 ,33802289152.00 ,34708647936.00 ,35492069376.00 ,47652765696.00 ,46578098176.00 ,35098640384.00 ,33986301952.00 ,48187711488.00 ,46459199488.00 ,,2927753007104.00 ,,,,
11:02:00,46820691968.00 ,46871093248.00 ,46491918336.00 ,46793093120.00 ,46725627904.00 ,46428033024.00 ,35720114176.00 ,34828218368.00 ,34273009664.00 ,36069453824.00 ,34680053760.00 ,34746224640.00 ,46881710080.00 ,34364452864.00 ,45577125888.00 ,34564128768.00 ,34916696064.00 ,35141615616.00 ,34711740416.00 ,35430146048.00 ,46309892096.00 ,46911516672.00 ,45978136576.00 ,45963505664.00 ,46141063168.00 ,36412227584.00 ,34335854592.00 ,34556735488.00 ,34268487680.00 ,35308003328.00 ,35229679616.00 ,34876620800.00 ,34061426688.00 ,34873200640.00 ,34986053632.00 ,34646118400.00 ,46452723712.00 ,34782699520.00 ,34890543104.00 ,34724794368.00 ,46240497664.00 ,35112108032.00 ,34650648576.00 ,45109800960.00 ,34327420928.00 ,35405783040.00 ,46609567744.00 ,35303825408.00 ,34306179072.00 ,34485862400.00 ,45525635072.00 ,34337292288.00 ,47907917824.00 ,34192101376.00 ,35342839808.00 ,36420673536.00 ,47532228608.00 ,46230667264.00 ,34186747904.00 ,35121868800.00 ,34708799488.00 ,34253328384.00 ,45167095808.00 ,35642200064.00 ,45393424384.00 ,34781159424.00 ,33818005504.00 ,34709581824.00 ,35488481280.00 ,47656275968.00 ,46582894592.00 ,35104575488.00 ,33972031488.00 ,48201326592.00 ,46459809792.00 ,,2928033087488.00 ,,,,
11:02:15,46813765632.00 ,46876303360.00 ,46486622208.00 ,46793359360.00 ,46716997632.00 ,46428033024.00 ,35725172736.00 ,34862518272.00 ,34288615424.00 ,36073369600.00 ,34682691584.00 ,34742964224.00 ,46887841792.00 ,34363613184.00 ,45604503552.00 ,34575093760.00 ,34934415360.00 ,35164790784.00 ,34742337536.00 ,35443056640.00 ,46317641728.00 ,46917607424.00 ,45985124352.00 ,45953261568.00 ,46136758272.00 ,36415983616.00 ,34376613888.00 ,34580320256.00 ,34285019136.00 ,35308478464.00 ,35256029184.00 ,34900094976.00 ,34082979840.00 ,34878631936.00 ,34987515904.00 ,34634715136.00 ,46444539904.00 ,34777358336.00 ,34886455296.00 ,34726658048.00 ,46266257408.00 ,35115126784.00 ,34652491776.00 ,45111590912.00 ,34348630016.00 ,35415298048.00 ,46627282944.00 ,35319468032.00 ,34332557312.00 ,34494066688.00 ,45517811712.00 ,34341244928.00 ,47911723008.00 ,34203713536.00 ,35341414400.00 ,36422389760.00 ,47533719552.00 ,46222495744.00 ,34191032320.00 ,35132608512.00 ,34709155840.00 ,34240589824.00 ,45174702080.00 ,35647811584.00 ,45392760832.00 ,34793500672.00 ,33809367040.00 ,34724466688.00 ,35490553856.00 ,47670878208.00 ,46582280192.00 ,35098140672.00 ,33970958336.00 ,48193826816.00 ,46478274560.00 ,,2928536043520.00 ,,,,
