Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-122/used,emr-worker-123/used,emr-worker-124/used,emr-worker-125/used,emr-worker-126/used,emr-worker-127/used,emr-worker-128/used,emr-worker-129/used,emr-worker-130/used,emr-worker-131/used,emr-worker-132/used,emr-worker-133/used,emr-worker-134/used,emr-worker-135/used,emr-worker-136/used,emr-worker-137/used,emr-worker-138/used,emr-worker-139/used,emr-worker-140/used,emr-worker-141/used,emr-worker-142/used,emr-worker-143/used,emr-worker-144/used,emr-worker-145/used,emr-worker-146/used,emr-worker-147/used,emr-worker-148/used,emr-worker-149/used,emr-worker-150/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
19:00:00,2840563712.00 ,2791145472.00 ,2833915904.00 ,2844532736.00 ,2818682880.00 ,2836340736.00 ,2837659648.00 ,2870886400.00 ,2699522048.00 ,2833076224.00 ,2835476480.00 ,2808369152.00 ,2775080960.00 ,2831986688.00 ,2756292608.00 ,2812571648.00 ,2752712704.00 ,2799976448.00 ,2789351424.00 ,2784227328.00 ,2759950336.00 ,2841108480.00 ,2837000192.00 ,2814746624.00 ,2784727040.00 ,2745511936.00 ,2789289984.00 ,2829643776.00 ,2657386496.00 ,2762477568.00 ,2798321664.00 ,2823024640.00 ,2791337984.00 ,2837094400.00 ,2831134720.00 ,2841182208.00 ,2819145728.00 ,2780717056.00 ,2744475648.00 ,2787745792.00 ,2825957376.00 ,2859782144.00 ,2787262464.00 ,2808344576.00 ,2827644928.00 ,2821951488.00 ,2845433856.00 ,2845065216.00 ,2774372352.00 ,2796249088.00 ,2782814208.00 ,2760093696.00 ,2752925696.00 ,2774892544.00 ,2784014336.00 ,2734874624.00 ,2635866112.00 ,2734551040.00 ,2796539904.00 ,2747936768.00 ,2754592768.00 ,2740985856.00 ,2805518336.00 ,2774175744.00 ,2773651456.00 ,2745200640.00 ,2595192832.00 ,2782105600.00 ,2769051648.00 ,2795638784.00 ,2719690752.00 ,2792226816.00 ,2707308544.00 ,2761400320.00 ,2776334336.00 ,,209018040320.00 
19:00:15,2847428608.00 ,2791145472.00 ,2834399232.00 ,2845151232.00 ,2808741888.00 ,2835873792.00 ,2836443136.00 ,2883153920.00 ,2699603968.00 ,2834317312.00 ,2836905984.00 ,2808725504.00 ,2776408064.00 ,2832142336.00 ,2753462272.00 ,2821353472.00 ,2752176128.00 ,2798694400.00 ,2792505344.00 ,2785243136.00 ,2760388608.00 ,2842230784.00 ,2836250624.00 ,2813001728.00 ,2784239616.00 ,2743271424.00 ,2792595456.00 ,2828931072.00 ,2643124224.00 ,2763886592.00 ,2797154304.00 ,2823598080.00 ,2792935424.00 ,2841931776.00 ,2832117760.00 ,2843615232.00 ,2820964352.00 ,2777399296.00 ,2745380864.00 ,2789179392.00 ,2824769536.00 ,2856431616.00 ,2790612992.00 ,2810122240.00 ,2831347712.00 ,2832809984.00 ,2844897280.00 ,2833985536.00 ,2777419776.00 ,2798997504.00 ,2787143680.00 ,2763493376.00 ,2755375104.00 ,2777411584.00 ,2786283520.00 ,2737381376.00 ,2630045696.00 ,2733056000.00 ,2787434496.00 ,2750906368.00 ,2756448256.00 ,2741690368.00 ,2807500800.00 ,2773483520.00 ,2777554944.00 ,2747904000.00 ,2595393536.00 ,2781749248.00 ,2772705280.00 ,2797023232.00 ,2718953472.00 ,2792054784.00 ,2711461888.00 ,2762915840.00 ,2775691264.00 ,,209068527616.00 
19:00:30,2840481792.00 ,2789605376.00 ,2834731008.00 ,2842812416.00 ,2808647680.00 ,2835300352.00 ,2834317312.00 ,2871529472.00 ,2695315456.00 ,2828120064.00 ,2833072128.00 ,2819739648.00 ,2773225472.00 ,2826829824.00 ,2752897024.00 ,2810540032.00 ,2760716288.00 ,2794872832.00 ,2791530496.00 ,2785517568.00 ,2760683520.00 ,2839670784.00 ,2836328448.00 ,2814291968.00 ,2781073408.00 ,2740342784.00 ,2795515904.00 ,2823884800.00 ,2643267584.00 ,2764664832.00 ,2798538752.00 ,2820214784.00 ,2792083456.00 ,2844127232.00 ,2832920576.00 ,2843615232.00 ,2816577536.00 ,2774958080.00 ,2741596160.00 ,2789888000.00 ,2822750208.00 ,2855350272.00 ,2788290560.00 ,2807209984.00 ,2828832768.00 ,2819997696.00 ,2840338432.00 ,2831052800.00 ,2777882624.00 ,2799419392.00 ,2787430400.00 ,2761371648.00 ,2757730304.00 ,2775568384.00 ,2785456128.00 ,2740232192.00 ,2628206592.00 ,2732310528.00 ,2786598912.00 ,2749906944.00 ,2754252800.00 ,2740592640.00 ,2803937280.00 ,2775367680.00 ,2775654400.00 ,2761801728.00 ,2596659200.00 ,2782322688.00 ,2771906560.00 ,2799628288.00 ,2718425088.00 ,2790260736.00 ,2709278720.00 ,2760650752.00 ,2776342528.00 ,,208977063936.00 
19:00:45,2839121920.00 ,2794258432.00 ,2834522112.00 ,2843947008.00 ,2808586240.00 ,2832850944.00 ,2835152896.00 ,2870939648.00 ,2697428992.00 ,2831769600.00 ,2832785408.00 ,2809503744.00 ,2782412800.00 ,2827546624.00 ,2755919872.00 ,2812796928.00 ,2749329408.00 ,2799144960.00 ,2804088832.00 ,2785767424.00 ,2760073216.00 ,2841075712.00 ,2837041152.00 ,2814255104.00 ,2782076928.00 ,2744782848.00 ,2796130304.00 ,2828910592.00 ,2641203200.00 ,2763075584.00 ,2797789184.00 ,2823413760.00 ,2787409920.00 ,2841829376.00 ,2833424384.00 ,2843635712.00 ,2817069056.00 ,2777346048.00 ,2744799232.00 ,2790436864.00 ,2822209536.00 ,2857472000.00 ,2787639296.00 ,2806534144.00 ,2830741504.00 ,2819362816.00 ,2844512256.00 ,2831859712.00 ,2775887872.00 ,2810544128.00 ,2788163584.00 ,2759405568.00 ,2751737856.00 ,2775027712.00 ,2787188736.00 ,2738151424.00 ,2627239936.00 ,2746728448.00 ,2785095680.00 ,2753978368.00 ,2753847296.00 ,2740822016.00 ,2805002240.00 ,2776035328.00 ,2775642112.00 ,2746884096.00 ,2599354368.00 ,2778386432.00 ,2770477056.00 ,2797699072.00 ,2725584896.00 ,2788487168.00 ,2705715200.00 ,2761957376.00 ,2789797888.00 ,,209028825088.00 
19:01:00,2841587712.00 ,2796249088.00 ,2832699392.00 ,2842390528.00 ,2808459264.00 ,2835550208.00 ,2833104896.00 ,2870571008.00 ,2700083200.00 ,2829713408.00 ,2832379904.00 ,2811711488.00 ,2774847488.00 ,2827907072.00 ,2758303744.00 ,2813149184.00 ,2750410752.00 ,2801766400.00 ,2789732352.00 ,2784088064.00 ,2756841472.00 ,2843004928.00 ,2841407488.00 ,2812444672.00 ,2782556160.00 ,2745176064.00 ,2791391232.00 ,2829975552.00 ,2641686528.00 ,2777821184.00 ,2797072384.00 ,2824626176.00 ,2789658624.00 ,2838630400.00 ,2830675968.00 ,2843754496.00 ,2819305472.00 ,2777919488.00 ,2746011648.00 ,2789896192.00 ,2823839744.00 ,2858311680.00 ,2788454400.00 ,2809020416.00 ,2829729792.00 ,2819657728.00 ,2845540352.00 ,2833080320.00 ,2775175168.00 ,2797379584.00 ,2785329152.00 ,2775568384.00 ,2752135168.00 ,2776313856.00 ,2787356672.00 ,2741182464.00 ,2627887104.00 ,2731520000.00 ,2785419264.00 ,2750525440.00 ,2753458176.00 ,2741121024.00 ,2805813248.00 ,2776047616.00 ,2775597056.00 ,2747973632.00 ,2607599616.00 ,2780684288.00 ,2772262912.00 ,2798526464.00 ,2719477760.00 ,2789773312.00 ,2705764352.00 ,2761662464.00 ,2777329664.00 ,,209021079552.00 
19:01:15,2842058752.00 ,2794717184.00 ,2832932864.00 ,2844999680.00 ,2805768192.00 ,2835132416.00 ,2835140608.00 ,2871476224.00 ,2701164544.00 ,2834522112.00 ,2837049344.00 ,2813349888.00 ,2776551424.00 ,2830102528.00 ,2758381568.00 ,2814230528.00 ,2752147456.00 ,2802176000.00 ,2792439808.00 ,2787962880.00 ,2759680000.00 ,2841726976.00 ,2840104960.00 ,2815197184.00 ,2784796672.00 ,2743578624.00 ,2795761664.00 ,2828427264.00 ,2644385792.00 ,2765213696.00 ,2797072384.00 ,2825003008.00 ,2790780928.00 ,2854395904.00 ,2834489344.00 ,2842337280.00 ,2818899968.00 ,2776920064.00 ,2745536512.00 ,2788360192.00 ,2823729152.00 ,2870820864.00 ,2789486592.00 ,2808524800.00 ,2831351808.00 ,2819096576.00 ,2843136000.00 ,2830602240.00 ,2773979136.00 ,2798018560.00 ,2786729984.00 ,2763423744.00 ,2755551232.00 ,2773999616.00 ,2787483648.00 ,2740928512.00 ,2629541888.00 ,2734247936.00 ,2787450880.00 ,2750750720.00 ,2756837376.00 ,2740453376.00 ,2805518336.00 ,2774978560.00 ,2784530432.00 ,2750640128.00 ,2601132032.00 ,2781495296.00 ,2772258816.00 ,2800209920.00 ,2720174080.00 ,2790920192.00 ,2707886080.00 ,2768453632.00 ,2777026560.00 ,,209086341120.00 
19:01:30,2840748032.00 ,2792050688.00 ,2834128896.00 ,2845757440.00 ,2808926208.00 ,2832044032.00 ,2836410368.00 ,2870706176.00 ,2697936896.00 ,2829479936.00 ,2835001344.00 ,2810781696.00 ,2774552576.00 ,2828976128.00 ,2753011712.00 ,2812682240.00 ,2754805760.00 ,2798968832.00 ,2794926080.00 ,2789793792.00 ,2759663616.00 ,2838380544.00 ,2838945792.00 ,2816315392.00 ,2780725248.00 ,2746826752.00 ,2795622400.00 ,2830389248.00 ,2644475904.00 ,2763051008.00 ,2797932544.00 ,2821832704.00 ,2791968768.00 ,2844401664.00 ,2837565440.00 ,2849005568.00 ,2818306048.00 ,2773368832.00 ,2744193024.00 ,2789822464.00 ,2835070976.00 ,2858901504.00 ,2788876288.00 ,2805915648.00 ,2840268800.00 ,2819203072.00 ,2841911296.00 ,2830995456.00 ,2777563136.00 ,2797883392.00 ,2787901440.00 ,2763403264.00 ,2754805760.00 ,2776866816.00 ,2802360320.00 ,2740273152.00 ,2628308992.00 ,2733133824.00 ,2786791424.00 ,2750218240.00 ,2753839104.00 ,2741395456.00 ,2806517760.00 ,2774970368.00 ,2775674880.00 ,2750500864.00 ,2600452096.00 ,2787344384.00 ,2773221376.00 ,2799640576.00 ,2721251328.00 ,2792005632.00 ,2707636224.00 ,2763763712.00 ,2779217920.00 ,,209072566272.00 
19:01:45,2842677248.00 ,2792050688.00 ,2837262336.00 ,2845855744.00 ,2809278464.00 ,2832044032.00 ,2835091456.00 ,2872369152.00 ,2699046912.00 ,2831720448.00 ,2844565504.00 ,2812919808.00 ,2775994368.00 ,2828492800.00 ,2753986560.00 ,2813308928.00 ,2753372160.00 ,2798870528.00 ,2795622400.00 ,2788442112.00 ,2763198464.00 ,2838044672.00 ,2840068096.00 ,2812751872.00 ,2782359552.00 ,2746363904.00 ,2793623552.00 ,2827268096.00 ,2642792448.00 ,2764218368.00 ,2798071808.00 ,2823708672.00 ,2790854656.00 ,2844299264.00 ,2835582976.00 ,2845585408.00 ,2818498560.00 ,2774282240.00 ,2745032704.00 ,2788696064.00 ,2822172672.00 ,2859077632.00 ,2790785024.00 ,2807488512.00 ,2829721600.00 ,2820866048.00 ,2843336704.00 ,2829299712.00 ,2776829952.00 ,2799288320.00 ,2792583168.00 ,2762219520.00 ,2754375680.00 ,2781908992.00 ,2788958208.00 ,2740686848.00 ,2626744320.00 ,2731560960.00 ,2787053568.00 ,2747760640.00 ,2753843200.00 ,2742558720.00 ,2807492608.00 ,2774691840.00 ,2773360640.00 ,2750074880.00 ,2601476096.00 ,2780975104.00 ,2769616896.00 ,2798223360.00 ,2719580160.00 ,2792800256.00 ,2706976768.00 ,2762698752.00 ,2776559616.00 ,,209041920000.00 
19:02:00,2842800128.00 ,2797486080.00 ,2832883712.00 ,2846134272.00 ,2810798080.00 ,2834391040.00 ,2833907712.00 ,2875944960.00 ,2704936960.00 ,2832343040.00 ,2838614016.00 ,2811994112.00 ,2776297472.00 ,2831360000.00 ,2757144576.00 ,2816966656.00 ,2753687552.00 ,2800218112.00 ,2793775104.00 ,2784071680.00 ,2761596928.00 ,2842705920.00 ,2841505792.00 ,2815541248.00 ,2785292288.00 ,2748293120.00 ,2793955328.00 ,2836697088.00 ,2643492864.00 ,2762985472.00 ,2798985216.00 ,2823524352.00 ,2788818944.00 ,2838654976.00 ,2836377600.00 ,2845585408.00 ,2831081472.00 ,2778480640.00 ,2761605120.00 ,2790871040.00 ,2824359936.00 ,2861219840.00 ,2788671488.00 ,2814828544.00 ,2827685888.00 ,2820218880.00 ,2844971008.00 ,2830839808.00 ,2775814144.00 ,2796613632.00 ,2786205696.00 ,2764099584.00 ,2753630208.00 ,2776461312.00 ,2787950592.00 ,2741534720.00 ,2627563520.00 ,2731814912.00 ,2786570240.00 ,2748887040.00 ,2755923968.00 ,2743091200.00 ,2807693312.00 ,2776289280.00 ,2775113728.00 ,2749931520.00 ,2601336832.00 ,2780241920.00 ,2771566592.00 ,2812882944.00 ,2721644544.00 ,2792513536.00 ,2707640320.00 ,2761428992.00 ,2778873856.00 ,,209127919616.00 
19:02:15,2843582464.00 ,2797658112.00 ,2831101952.00 ,2845057024.00 ,2807988224.00 ,2835759104.00 ,2834165760.00 ,2877956096.00 ,2697404416.00 ,2834776064.00 ,2838863872.00 ,2813169664.00 ,2776936448.00 ,2830237696.00 ,2758623232.00 ,2819764224.00 ,2753138688.00 ,2800099328.00 ,2799611904.00 ,2788728832.00 ,2760679424.00 ,2842288128.00 ,2841600000.00 ,2814947328.00 ,2783293440.00 ,2747867136.00 ,2797858816.00 ,2832289792.00 ,2645282816.00 ,2765168640.00 ,2797703168.00 ,2826121216.00 ,2791743488.00 ,2844270592.00 ,2837794816.00 ,2844368896.00 ,2820775936.00 ,2776944640.00 ,2747412480.00 ,2792202240.00 ,2825654272.00 ,2860982272.00 ,2789457920.00 ,2807717888.00 ,2832711680.00 ,2821009408.00 ,2843672576.00 ,2832195584.00 ,2778103808.00 ,2798362624.00 ,2788044800.00 ,2765254656.00 ,2756456448.00 ,2776625152.00 ,2788847616.00 ,2741739520.00 ,2629255168.00 ,2734866432.00 ,2787266560.00 ,2750160896.00 ,2758217728.00 ,2743287808.00 ,2804629504.00 ,2777153536.00 ,2776059904.00 ,2751258624.00 ,2602700800.00 ,2781532160.00 ,2787024896.00 ,2801991680.00 ,2723319808.00 ,2793582592.00 ,2711199744.00 ,2762313728.00 ,2783031296.00 ,,209160925184.00 
