Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,,,,,
15:30:00,8605761536.00 ,2930671616.00 ,2739027968.00 ,2832011264.00 ,2759954432.00 ,2707660800.00 ,2731773952.00 ,2756198400.00 ,2744717312.00 ,2727899136.00 ,2704814080.00 ,2804101120.00 ,2753761280.00 ,2734878720.00 ,2770739200.00 ,2775367680.00 ,2727383040.00 ,2775404544.00 ,2763210752.00 ,2725785600.00 ,2716794880.00 ,2713174016.00 ,2772815872.00 ,2919579648.00 ,2688495616.00 ,2695532544.00 ,2766991360.00 ,2762981376.00 ,2763214848.00 ,2829512704.00 ,2730233856.00 ,2786791424.00 ,2776764416.00 ,2826706944.00 ,2720137216.00 ,2789548032.00 ,2717663232.00 ,2716200960.00 ,2708377600.00 ,2699956224.00 ,2722050048.00 ,2794700800.00 ,2724876288.00 ,2806251520.00 ,2811658240.00 ,2758164480.00 ,2736287744.00 ,2716782592.00 ,2709024768.00 ,2768773120.00 ,2732326912.00 ,,146453491712.00 ,,,,
15:30:15,8619335680.00 ,2936356864.00 ,2739728384.00 ,2849423360.00 ,2745470976.00 ,2710683648.00 ,2730024960.00 ,2756186112.00 ,2735063040.00 ,2725109760.00 ,2705793024.00 ,2790256640.00 ,2753662976.00 ,2733752320.00 ,2768261120.00 ,2776231936.00 ,2726821888.00 ,2776244224.00 ,2762121216.00 ,2729218048.00 ,2719084544.00 ,2714722304.00 ,2772373504.00 ,2918346752.00 ,2692304896.00 ,2695897088.00 ,2768289792.00 ,2767859712.00 ,2763022336.00 ,2829619200.00 ,2730500096.00 ,2788519936.00 ,2778767360.00 ,2811293696.00 ,2721734656.00 ,2792243200.00 ,2716512256.00 ,2718674944.00 ,2708021248.00 ,2701180928.00 ,2726158336.00 ,2796036096.00 ,2727292928.00 ,2811064320.00 ,2812878848.00 ,2758467584.00 ,2739961856.00 ,2717868032.00 ,2714189824.00 ,2764357632.00 ,2733088768.00 ,,146480078848.00 ,,,,
15:30:30,8607277056.00 ,2938691584.00 ,2752520192.00 ,2832605184.00 ,2745253888.00 ,2709753856.00 ,2729869312.00 ,2756919296.00 ,2734387200.00 ,2727530496.00 ,2704240640.00 ,2791616512.00 ,2752036864.00 ,2734702592.00 ,2773295104.00 ,2773790720.00 ,2727129088.00 ,2776424448.00 ,2762063872.00 ,2728673280.00 ,2716229632.00 ,2718474240.00 ,2773606400.00 ,2916892672.00 ,2692485120.00 ,2698022912.00 ,2770894848.00 ,2764496896.00 ,2762711040.00 ,2829934592.00 ,2735775744.00 ,2788999168.00 ,2778808320.00 ,2812698624.00 ,2722017280.00 ,2789728256.00 ,2717368320.00 ,2720210944.00 ,2706825216.00 ,2700873728.00 ,2723954688.00 ,2794917888.00 ,2727665664.00 ,2804690944.00 ,2810777600.00 ,2756448256.00 ,2738286592.00 ,2718420992.00 ,2722246656.00 ,2766147584.00 ,2731618304.00 ,,146471010304.00 ,,,,
15:30:45,8626057216.00 ,2937339904.00 ,2740219904.00 ,2830553088.00 ,2742468608.00 ,2708029440.00 ,2726473728.00 ,2753576960.00 ,2734764032.00 ,2725457920.00 ,2702331904.00 ,2789982208.00 ,2750140416.00 ,2731159552.00 ,2769440768.00 ,2770812928.00 ,2725466112.00 ,2775646208.00 ,2759454720.00 ,2724782080.00 ,2718076928.00 ,2714157056.00 ,2769514496.00 ,2917912576.00 ,2689228800.00 ,2692481024.00 ,2766589952.00 ,2762432512.00 ,2761621504.00 ,2828849152.00 ,2737946624.00 ,2789601280.00 ,2778238976.00 ,2810552320.00 ,2721021952.00 ,2788585472.00 ,2718502912.00 ,2714640384.00 ,2708070400.00 ,2699628544.00 ,2724581376.00 ,2793713664.00 ,2728136704.00 ,2800189440.00 ,2806927360.00 ,2753990656.00 ,2754564096.00 ,2716987392.00 ,2711719936.00 ,2772787200.00 ,2729275392.00 ,,146404683776.00 ,,,,
15:31:00,8598978560.00 ,2933780480.00 ,2740219904.00 ,2832609280.00 ,2743889920.00 ,2710626304.00 ,2728562688.00 ,2756739072.00 ,2733805568.00 ,2727989248.00 ,2706452480.00 ,2789937152.00 ,2751975424.00 ,2738393088.00 ,2768637952.00 ,2772537344.00 ,2726006784.00 ,2776195072.00 ,2760790016.00 ,2726928384.00 ,2718867456.00 ,2714882048.00 ,2771820544.00 ,2917421056.00 ,2689716224.00 ,2694131712.00 ,2768920576.00 ,2762690560.00 ,2761244672.00 ,2828451840.00 ,2732544000.00 ,2789048320.00 ,2776965120.00 ,2810400768.00 ,2729259008.00 ,2787221504.00 ,2717097984.00 ,2716049408.00 ,2708070400.00 ,2701357056.00 ,2723946496.00 ,2793455616.00 ,2728599552.00 ,2805723136.00 ,2809307136.00 ,2756796416.00 ,2739863552.00 ,2723762176.00 ,2712354816.00 ,2766483456.00 ,2729971712.00 ,,146411479040.00 ,,,,
15:31:15,8607637504.00 ,2938417152.00 ,2734129152.00 ,2832502784.00 ,2744582144.00 ,2713333760.00 ,2731954176.00 ,2757853184.00 ,2735181824.00 ,2728087552.00 ,2704314368.00 ,2790109184.00 ,2755764224.00 ,2734788608.00 ,2769281024.00 ,2772340736.00 ,2727858176.00 ,2775011328.00 ,2763210752.00 ,2727923712.00 ,2726932480.00 ,2716995584.00 ,2776596480.00 ,2915426304.00 ,2695020544.00 ,2694004736.00 ,2770219008.00 ,2771521536.00 ,2760183808.00 ,2830323712.00 ,2733293568.00 ,2788970496.00 ,2779070464.00 ,2812055552.00 ,2745933824.00 ,2788249600.00 ,2729103360.00 ,2716737536.00 ,2711232512.00 ,2716024832.00 ,2727886848.00 ,2793271296.00 ,2726588416.00 ,2806968320.00 ,2809561088.00 ,2755579904.00 ,2737778688.00 ,2740498432.00 ,2714329088.00 ,2766188544.00 ,2732593152.00 ,,146533421056.00 ,,,,
15:31:30,9019736064.00 ,2949464064.00 ,2734026752.00 ,2831839232.00 ,2743549952.00 ,2717687808.00 ,2731950080.00 ,2757271552.00 ,2731597824.00 ,2728128512.00 ,2708680704.00 ,2791669760.00 ,2759512064.00 ,2736300032.00 ,2769743872.00 ,2776510464.00 ,2727419904.00 ,2775392256.00 ,2762317824.00 ,2728636416.00 ,2716561408.00 ,2715865088.00 ,2778456064.00 ,2916257792.00 ,2689617920.00 ,2693861376.00 ,2771824640.00 ,2768441344.00 ,2760933376.00 ,2829361152.00 ,2732613632.00 ,2787901440.00 ,2778587136.00 ,2810425344.00 ,2732138496.00 ,2789244928.00 ,2714796032.00 ,2715754496.00 ,2710298624.00 ,2703564800.00 ,2722131968.00 ,2793947136.00 ,2727104512.00 ,2805960704.00 ,2811645952.00 ,2857377792.00 ,2739507200.00 ,2727882752.00 ,2712707072.00 ,2765041664.00 ,2731679744.00 ,,146992926720.00 ,,,,
15:31:45,9164140544.00 ,3338493952.00 ,3349688320.00 ,3581440000.00 ,3490525184.00 ,3466764288.00 ,3135991808.00 ,3163693056.00 ,3103383552.00 ,3461464064.00 ,3475193856.00 ,3548708864.00 ,3488370688.00 ,3491270656.00 ,3161165824.00 ,3514486784.00 ,3124166656.00 ,3163578368.00 ,3145416704.00 ,3494739968.00 ,3102932992.00 ,3469524992.00 ,3160948736.00 ,3302219776.00 ,3074195456.00 ,3451121664.00 ,3522629632.00 ,3520344064.00 ,3150893056.00 ,3208630272.00 ,5351190528.00 ,3545436160.00 ,3538522112.00 ,3581128704.00 ,3098120192.00 ,3176734720.00 ,3099738112.00 ,3086376960.00 ,3104391168.00 ,3463905280.00 ,3479171072.00 ,3549876224.00 ,3476410368.00 ,3190034432.00 ,3203850240.00 ,3439534080.00 ,3121061888.00 ,3471257600.00 ,3466539008.00 ,3500081152.00 ,3478319104.00 ,,178247802880.00 ,,,,
15:32:00,9159950336.00 ,4303659008.00 ,6760570880.00 ,7958196224.00 ,8721334272.00 ,7430914048.00 ,5522874368.00 ,5038383104.00 ,5173624832.00 ,7246913536.00 ,8106008576.00 ,8257933312.00 ,5436006400.00 ,9267019776.00 ,5414993920.00 ,8599474176.00 ,5114847232.00 ,5675798528.00 ,5109358592.00 ,9048096768.00 ,5473759232.00 ,8111214592.00 ,4955701248.00 ,5977276416.00 ,4909424640.00 ,9257955328.00 ,8126169088.00 ,8159916032.00 ,5171527680.00 ,5741973504.00 ,6157443072.00 ,7328542720.00 ,8297299968.00 ,8209051648.00 ,4970786816.00 ,5511467008.00 ,5599166464.00 ,5851455488.00 ,5554417664.00 ,8144429056.00 ,8104615936.00 ,7374667776.00 ,8213192704.00 ,5562167296.00 ,6411255808.00 ,5794955264.00 ,5733076992.00 ,6978781184.00 ,7422455808.00 ,7882391552.00 ,7612575744.00 ,,345945071616.00 ,,,,
15:32:15,9156927488.00 ,7372918784.00 ,6781145088.00 ,11812921344.00 ,12141010944.00 ,11635490816.00 ,7346573312.00 ,7315021824.00 ,7110488064.00 ,11722317824.00 ,11691388928.00 ,11929047040.00 ,11552698368.00 ,12155027456.00 ,7321276416.00 ,11883544576.00 ,7298007040.00 ,7354712064.00 ,7132512256.00 ,11856384000.00 ,7752548352.00 ,11905421312.00 ,7180963840.00 ,8050462720.00 ,7092576256.00 ,11805020160.00 ,11860258816.00 ,11880439808.00 ,7296372736.00 ,7379681280.00 ,7234498560.00 ,11677368320.00 ,11860234240.00 ,11957342208.00 ,7117324288.00 ,7340683264.00 ,7275421696.00 ,7290036224.00 ,7265001472.00 ,11793326080.00 ,11862188032.00 ,11661230080.00 ,11796951040.00 ,7362781184.00 ,7334068224.00 ,7609376768.00 ,7236022272.00 ,11561168896.00 ,11542179840.00 ,11675291648.00 ,11752570880.00 ,,486978224128.00 ,,,,
15:32:30,9163358208.00 ,8141279232.00 ,7910400000.00 ,13195182080.00 ,13154320384.00 ,13080829952.00 ,7937925120.00 ,8000942080.00 ,7898165248.00 ,13034930176.00 ,13063397376.00 ,13132312576.00 ,13116878848.00 ,13078724608.00 ,7940407296.00 ,13116780544.00 ,7890092032.00 ,7974105088.00 ,7944130560.00 ,13095632896.00 ,7995441152.00 ,12987400192.00 ,7937937408.00 ,8123142144.00 ,7872790528.00 ,13011894272.00 ,13138063360.00 ,13131423744.00 ,7931346944.00 ,8007725056.00 ,7917871104.00 ,13173043200.00 ,13117005824.00 ,13177405440.00 ,7897485312.00 ,7980756992.00 ,7918026752.00 ,7861506048.00 ,7911555072.00 ,13078855680.00 ,13080301568.00 ,13161627648.00 ,13107769344.00 ,7998017536.00 ,8000323584.00 ,8243802112.00 ,7924363264.00 ,13090455552.00 ,13049196544.00 ,13113384960.00 ,13045501952.00 ,,535855214592.00 ,,,,
15:32:45,9177485312.00 ,8136142848.00 ,7969808384.00 ,13188792320.00 ,13267963904.00 ,13141483520.00 ,7929155584.00 ,8039084032.00 ,7915712512.00 ,13125931008.00 ,13085237248.00 ,13171982336.00 ,13106659328.00 ,13119705088.00 ,7944474624.00 ,13216550912.00 ,7892692992.00 ,7994433536.00 ,7944867840.00 ,13174718464.00 ,8208818176.00 ,13071097856.00 ,7955447808.00 ,8178606080.00 ,7883042816.00 ,13062242304.00 ,13182763008.00 ,13256478720.00 ,7925452800.00 ,8026972160.00 ,7931211776.00 ,13194309632.00 ,13162328064.00 ,13207588864.00 ,7901327360.00 ,7996731392.00 ,7946555392.00 ,7863533568.00 ,7900557312.00 ,13159108608.00 ,13151768576.00 ,13271408640.00 ,13139730432.00 ,7982690304.00 ,8032972800.00 ,8259665920.00 ,7919267840.00 ,13146374144.00 ,13108322304.00 ,13155618816.00 ,13141889024.00 ,,537866764288.00 ,,,,
15:33:00,9150492672.00 ,8193589248.00 ,7960317952.00 ,13327826944.00 ,13542203392.00 ,13300531200.00 ,7984103424.00 ,8079110144.00 ,7942025216.00 ,13208752128.00 ,13167366144.00 ,13265588224.00 ,13208178688.00 ,13249908736.00 ,7981273088.00 ,13515272192.00 ,7944818688.00 ,8036151296.00 ,7992193024.00 ,13381132288.00 ,9133498368.00 ,13159268352.00 ,7982993408.00 ,8273678336.00 ,7942725632.00 ,13166174208.00 ,13269286912.00 ,13462781952.00 ,7987093504.00 ,8076181504.00 ,7970430976.00 ,13291261952.00 ,13245235200.00 ,13286088704.00 ,7940669440.00 ,8015974400.00 ,7977336832.00 ,7913975808.00 ,7968636928.00 ,13307346944.00 ,13217878016.00 ,13522591744.00 ,13222019072.00 ,8041914368.00 ,8059002880.00 ,8291004416.00 ,7970185216.00 ,13222785024.00 ,13174939648.00 ,13251112960.00 ,13271117824.00 ,,543046025216.00 ,,,,
15:33:15,9186283520.00 ,8296665088.00 ,7980212224.00 ,13462388736.00 ,14226214912.00 ,13626134528.00 ,8053641216.00 ,8268517376.00 ,8020226048.00 ,13535600640.00 ,13306789888.00 ,13491294208.00 ,13390606336.00 ,13721509888.00 ,8050606080.00 ,13831823360.00 ,7987146752.00 ,8159895552.00 ,8055414784.00 ,13693857792.00 ,10121916416.00 ,13363519488.00 ,8071237632.00 ,8931434496.00 ,7999811584.00 ,13448101888.00 ,13518471168.00 ,13786873856.00 ,8052056064.00 ,8165392384.00 ,8088301568.00 ,13506527232.00 ,13552209920.00 ,13454258176.00 ,8051613696.00 ,8229134336.00 ,8103251968.00 ,7980314624.00 ,8022515712.00 ,13569228800.00 ,13509046272.00 ,13833428992.00 ,13656244224.00 ,8125861888.00 ,8243761152.00 ,8386039808.00 ,8036880384.00 ,13588848640.00 ,13457244160.00 ,13619527680.00 ,13559255040.00 ,,554377138176.00 ,,,,
15:33:30,9169960960.00 ,8459436032.00 ,7986475008.00 ,13869371392.00 ,14514212864.00 ,13932167168.00 ,8264822784.00 ,8449613824.00 ,8209186816.00 ,13891096576.00 ,13593038848.00 ,13869961216.00 ,13779005440.00 ,14135070720.00 ,8202162176.00 ,14133391360.00 ,8127488000.00 ,8350973952.00 ,8224370688.00 ,14007484416.00 ,11114758144.00 ,13661458432.00 ,8255799296.00 ,9519620096.00 ,8221851648.00 ,13911355392.00 ,13935071232.00 ,14109802496.00 ,8348594176.00 ,8351092736.00 ,8249606144.00 ,14019264512.00 ,13927342080.00 ,13737861120.00 ,8203177984.00 ,8426250240.00 ,8282488832.00 ,8184750080.00 ,8222478336.00 ,13905633280.00 ,13930102784.00 ,14141272064.00 ,14003163136.00 ,8300933120.00 ,8459444224.00 ,8637579264.00 ,8238288896.00 ,13923524608.00 ,13745139712.00 ,14000115712.00 ,13960437760.00 ,,569097547776.00 ,,,,
