Time,emr-header-1/used,emr-worker-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-12/used,emr-worker-13/used,emr-worker-14/used,emr-worker-15/used,emr-worker-16/used,emr-worker-17/used,emr-worker-18/used,emr-worker-19/used,emr-worker-2/used,emr-worker-20/used,emr-worker-21/used,emr-worker-22/used,emr-worker-23/used,emr-worker-24/used,emr-worker-25/used,emr-worker-26/used,emr-worker-27/used,emr-worker-28/used,emr-worker-29/used,emr-worker-3/used,emr-worker-30/used,emr-worker-31/used,emr-worker-32/used,emr-worker-33/used,emr-worker-34/used,emr-worker-35/used,emr-worker-36/used,emr-worker-37/used,emr-worker-38/used,emr-worker-39/used,emr-worker-4/used,emr-worker-40/used,emr-worker-41/used,emr-worker-42/used,emr-worker-43/used,emr-worker-44/used,emr-worker-45/used,emr-worker-46/used,emr-worker-47/used,emr-worker-48/used,emr-worker-49/used,emr-worker-5/used,emr-worker-50/used,emr-worker-51/used,emr-worker-52/used,emr-worker-53/used,emr-worker-54/used,emr-worker-55/used,emr-worker-56/used,emr-worker-57/used,emr-worker-58/used,emr-worker-59/used,emr-worker-6/used,emr-worker-60/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-7/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-8/used,emr-worker-9/used,,,,,,
11:00:00,10386415616,42933170176,45893124096,35108593664,34591698944,34943901696,35408539648,34831900672,34989277184,45856391168,35011112960,46867398656,34569719808,46280761344,47677231104,48083709952,34643066880,45382905856,46533627904,34801668096,33739739136,46345510912,34819223552,34522820608,44582723584,35372429312,45199400960,34332549120,33703411712,34804883456,46916775936,45331619840,35512705024,33803190272,33935572992,47436464128,35164737536,34511056896,46687555584,34981335040,35555618816,34331152384,46841069568,45611134976,35042017280,34353373184,34952351744,35487219712,34659385344,35256172544,47352647680,33928454144,34639556608,34263093248,35594883072,45756436480,35511439360,46545022976,34334720000,34045779968,35452694528,34702438400,34643333120,46733201408,34952339456,33959038976,45978882048,33582886912,34075922432,44926210048,34922553344,34823995392,35057233920,33292926976,35261497344,35380695040,,2.89E+12,,,,
11:00:15,10358935552,43053408256,45892587520,35244146688,34591596544,34921549824,35458920448,34819002368,34984407040,45866233856,35017072640,46860414976,34574159872,46271049728,47752642560,48093724672,34632019968,45562912768,46534508544,34816249856,33741500416,46335803392,34830987264,34522750976,44568309760,35350437888,45327261696,34329948160,33712463872,34801487872,46916022272,45350526976,35504472064,33788321792,33939722240,47626416128,35180630016,34495729664,46711783424,34977435648,35536048128,34341113856,46832812032,45615116288,35030102016,34365394944,34946809856,35612229632,34646286336,35256782848,47357292544,33933017088,34633953280,34254700544,35586609152,45756354560,35513761792,46550876160,34327330816,34065014784,35435094016,34706903040,34632867840,46731939840,34946072576,33944502272,45999869952,33581510656,34077220864,44936060928,34928111616,34819506176,35050516480,33329692672,35259060224,35397500928,,2.89E+12,,,,
11:00:30,10356891648,43150147584,45924937728,35255468032,34612105216,34940858368,35498856448,34853498880,34977902592,45871616000,35009564672,46895005696,34583441408,46301728768,47753547776,48077787136,34629029888,45575602176,46546776064,34858463232,33787486208,46354882560,34825768960,34557452288,44589391872,35373359104,45335232512,34342223872,33734340608,34815631360,46912081920,45359800320,35542945792,33813790720,33929805824,47658434560,35180273664,34515456000,46728376320,35013906432,35545743360,34340741120,46839676928,45658075136,35054428160,34384715776,34967580672,35680350208,34661580800,35261837312,47364878336,33933676544,34656264192,34274783232,35601440768,45763522560,35526778880,46555693056,34356498432,34083278848,35461345280,34708238336,34663145472,46742654976,34960797696,33949585408,45992783872,33600626688,34093531136,44973289472,34946076672,34831241216,35063513088,33362337792,35261587456,35390410752,,2.89E+12,,,,
11:00:45,10364928000,43258990592,45929644032,35260481536,34618212352,34932346880,35511562240,34858704896,34989465600,45868998656,35016265728,46885945344,34584563712,46297415680,47761317888,48080228352,34622996480,45571055616,46534955008,34842370048,33794547712,46360842240,34833838080,34547445760,44566757376,35373228032,45365276672,34341769216,33736331264,34815963136,46931046400,45374844928,35540746240,33816989696,33953120256,47663706112,35171614720,34517049344,46726475776,35011661824,35547979776,34352066560,46833737728,45649043456,35048120320,34376773632,34965889024,35675287552,34669133824,35252707328,47368093696,33922658304,34698010624,34303295488,35603087360,45761634304,35537743872,46561513472,34348863488,34102620160,35466739712,34709528576,34668486656,46739775488,34954039296,33945792512,45990809600,33602695168,34100363264,44957978624,34952388608,34826977280,35098222592,33397534720,35268231168,35382542336,,2.89E+12,,,,
11:01:00,10360639488,43377651712,45929943040,35254632448,34621276160,34938376192,35496419328,34865033216,34990317568,45881634816,35010539520,46898618368,34589409280,46303772672,47761854464,48078864384,34630713344,45576646656,46533529600,34840850432,33775886336,46371840000,34845966336,34550247424,44591763456,35365892096,45336154112,34348662784,33747120128,34806890496,46925762560,45361025024,35554299904,33812799488,33943199744,47668285440,35180560384,34506825728,46736080896,35008806912,35549380608,34351276032,46833426432,45642964992,35058978816,34378047488,34999562240,35680784384,34669887488,35276783616,47358685184,33932181504,34700124160,34306707456,35597942784,45764395008,35532832768,46549348352,34352549888,34121580544,35496878080,34710614016,34663714816,46745763840,34965336064,33942204416,45998555136,33605148672,34101051392,44948418560,34954297344,34824343552,35081580544,33417498624,35267981312,35392675840,,2.89E+12,,,,
11:01:15,10358784000,43486162944,45935656960,35252076544,34631180288,34939908096,35503599616,34858033152,34986811392,45876523008,35015368704,46897057792,34591076352,46299090944,47751094272,48082362368,34627436544,45561479168,46546616320,34849906688,33785290752,46364930048,34861551616,34550468608,44595101696,35364278272,45363630080,34341675008,33762291712,34807898112,46929928192,45357596672,35573923840,33826324480,33941225472,47664201728,35185594368,34539732992,46728507392,35014402048,35549794304,34345709568,46852038656,45675474944,35051343872,34387726336,34993328128,35687587840,34660188160,35291115520,47363620864,33933586432,34719285248,34298286080,35584208896,45760675840,35530735616,46546489344,34353201152,34122170368,35473833984,34718957568,34668773376,46734913536,34967453696,33946505216,46000435200,33624215552,34106167296,44962455552,34952847360,34831085568,35074531328,33424343040,35273084928,35388633088,,2.89E+12,,,,
11:01:30,10358747136,43571269632,45931388928,35260080128,34632429568,34936348672,35500593152,34861191168,34994663424,45876445184,35021533184,46896525312,34596696064,46306316288,47762485248,48084258816,34632097792,45577433088,46546153472,34847879168,33790545920,46346194944,34883178496,34550480896,44588003328,35373137920,45367857152,34360283136,33771188224,34828615680,46929391616,45361377280,35589480448,33823084544,33941897216,47657340928,35182129152,34516824064,46732681216,35014070272,35544657920,34357944320,46846799872,45660946432,35053207552,34378903552,35004051456,35676176384,34656669696,35309248512,47363121152,33929441280,34747703296,34307006464,35600711680,45765419008,35535982592,46547820544,34352197632,34137985024,35499307008,34712174592,34673188864,46741082112,34965778432,33949442048,45990064128,33635442688,34103644160,44965826560,34947571712,34839072768,35071123456,33434390528,35278102528,35380256768,,2.89E+12,,,,
11:01:45,10374389760,43751510016,45930328064,35274944512,34632712192,34943148032,35501973504,34879025152,34998894592,45881729024,35012870144,46894866432,34591805440,46306201600,47759757312,48085671936,34635636736,45568806912,46547623936,34840236032,33796505600,46366203904,34894237696,34557186048,44600565760,35370328064,45399977984,34365902848,33778683904,34843172864,46917808128,45363654656,35587248128,33817513984,33947508736,47662391296,35192127488,34534625280,46730895360,35000999936,35546652672,34370859008,46873489408,45662580736,35075162112,34396028928,35018907648,35681939456,34673217536,35325120512,47375106048,33934135296,34759335936,34298187776,35600543744,45767790592,35527245824,46561628160,34360483840,34157293568,35509501952,34708598784,34665402368,46727532544,34966122496,33952362496,45997469696,33646870528,34104119296,44961083392,34959679488,34840772608,35079905280,33446076416,35262025728,35393216512,,2.89E+12,,,,
11:02:00,10392281088,43967565824,45944844288,35252342784,34626068480,34933985280,35516489728,34877722624,34991013888,45883453440,35019448320,46897938432,34596798464,46313635840,47757422592,48091127808,34642481152,45564391424,46569279488,34854850560,33792942080,46362165248,34887880704,34541658112,44594675712,35377819648,45393678336,34372960256,33803689984,34868363264,46925152256,45361942528,35600334848,33826172928,33943814144,47665025024,35181559808,34528436224,46750691328,35015786496,35550879744,34385035264,46861348864,45652099072,35073175552,34431201280,35022569472,35687366656,34678169600,35317862400,47365099520,33928302592,34796953600,34306043904,35604267008,45766557696,35542417408,46560841728,34369667072,34170605568,35508891648,34705670144,34676883456,46738132992,34963886080,33954955264,46012088320,33655406592,34103279616,44983054336,34970427392,34819428352,35077890048,33457786880,35269685248,35395399680,,2.89E+12,,,,
11:02:15,10368876544,44171071488,45933957120,35260710912,34654285824,34920087552,35510697984,34896928768,34994642944,45889253376,35026337792,46902198272,34620801024,46298869760,47765696512,48083615744,34666954752,45593284608,46558875648,34851393536,33815158784,46366969856,34907144192,34578624512,44623183872,35372212224,45405577216,34388738048,33802657792,34876964864,46924132352,45382594560,35622043648,33842331648,33957433344,47670046720,35184361472,34535489536,46732353536,35021250560,35552538624,34400301056,46891249664,45648461824,35086102528,34447081472,35038183424,35685683200,34663952384,35326562304,47367110656,33964609536,34834571264,34321780736,35596001280,45767512064,35537653760,46568509440,34385043456,34170630144,35526594560,34693853184,34697568256,46732668928,34965880832,33958006784,45996290048,33672802304,34113306624,44990017536,34981400576,34833645568,35083948032,33470320640,35274186752,35406336000,,2.89E+12,,,,
11:02:30,10351030272,44291264512,45927829504,35254202368,34651926528,2693021696,35508494336,34903384064,34994909184,45874216960,35012562944,46885785600,34609405952,46295797760,47754289152,48086540288,34658828288,45562642432,46549671936,34897698816,33843433472,46360973312,34932719616,34602905600,44622561280,35390279680,45404831744,34392809472,33813315584,34872451072,46922452992,45379272704,35619610624,33829105664,34002186240,47658254336,35205718016,34559848448,46720118784,35020996608,35546251264,34393296896,46908043264,45651582976,35095724032,34469945344,35044515840,35692929024,34665578496,35337154560,47356338176,33956835328,34813612032,34317631488,35593994240,45760724992,35533824000,46558736384,34388852736,34183835648,35535970304,34710536192,34691018752,46736814080,34956902400,33940393984,45996953600,33680031744,34120577024,44985942016,34981036032,34837803008,35076182016,3769028608,35268464640,35390894080,,2.83E+12,,,,
11:02:45,9777106944,3248189440,2796490752,2727428096,2725707776,2711969792,2746593280,2761150464,2706919424,2542120960,2773262336,2801307648,2727591936,2746912768,2743275520,2750578688,2743111680,2724036608,2718654464,2743701504,2746695680,2781450240,2794258432,2736336896,2712780800,2701111296,2750156800,2716889088,2753601536,2719629312,2603876352,2697986048,2701586432,2738032640,2699317248,2780110848,2726699008,2807549952,2719526912,2681507840,2756853760,2708332544,2728599552,2764365824,2730213376,2763784192,2756046848,2727108608,2736087040,2775711744,2760216576,2726846464,2762338304,2717466624,2752675840,2727395328,2830987264,2766823424,2747424768,2756694016,2699816960,2705293312,2712113152,2719768576,2765578240,2762993664,2732183552,2717274112,2549895168,2731548672,2698391552,2733432832,2737369088,2739892224,2709286912,2709123072,,2.15E+11,,,,
11:03:00,9783779328,3233935360,2794094592,2728148992,2728026112,2696839168,2745237504,2773594112,2713513984,2541215744,2783711232,2799460352,2726359040,2746368000,2743537664,2761609216,2734329856,2719145984,2716491776,2739458048,2747990016,2779127808,2797711360,2737676288,2699313152,2699091968,2748481536,2714738688,2750369792,2717995008,2602786816,2694328320,2700972032,2736451584,2698534912,2771779584,2726981632,2805022720,2722021376,2681933824,2754547712,2705657856,2725187584,2761170944,2740826112,2759901184,2754613248,2727866368,2740953088,2777939968,2769559552,2727559168,2763907072,2722889728,2752356352,2727112704,2843447296,2765967360,2742644736,2755928064,2699247616,2701037568,2703204352,2719539200,2764922880,2748960768,2730196992,2716647424,2562777088,2732175360,2698178560,2730491904,2738110464,2752671744,2711207936,2715136000,,2.15E+11,,,,
